Composition                               , Type_of_phases                                                                                                                        , Density_g_cm3, HV     , Test_type, Yield_Strength_MPa, Ultimate_Strength_MPa, Elongation_pct, Youngs_Modulus_GPa, Folder_Number
Cu0.5CoCrFeNi                             , FCC Matrix + Cu-rich FCC + Cr-rich FCC                                                                                                ,              ,  158   ,          ,                   ,                      ,               ,                   ,            35
Cu0.5CoCrFeNi                             , FCC Matrix + Cu-rich FCC + Cr-rich FCC                                                                                                ,              ,  146   ,          ,                   ,                      ,               ,                   ,            35
Cu0.5CoCrFeNi                             , FCC Matrix + Cr-rich FCC precipitate                                                                                                  ,              ,  163   ,          ,                   ,                      ,               ,                   ,            35
Cu0.5CoCrFeNi                             , FCC Matrix + Cr-rich FCC precipitate                                                                                                  ,              ,  162   ,          ,                   ,                      ,               ,                   ,            35
Cu0.5CoCrFeNi                             , FCC Matrix + Cr-rich FCC precipitate                                                                                                  ,              ,  166   ,          ,                   ,                      ,               ,                   ,            35
Al0.5CoCrCuFeNi                           , FCC solid solution                                                                                                                    ,              ,        ,          ,                   ,                      ,               ,                   ,            36
Al0.5CoCrCuFeNiB0.2                       , "FCC + (Cr,Fe)B borides"                                                                                                              ,              ,        ,          ,                   ,                      ,               ,                   ,            36
Al0.5CoCrCuFeNiB0.6                       , "FCC + (Cr,Fe)B borides"                                                                                                              ,              ,        ,          ,                   ,                      ,               ,                   ,            36
Al0.5CoCrCuFeNiB1.0                       , "FCC + (Cr,Fe)B borides"                                                                                                              ,              ,        ,          ,                   ,                      ,               ,                   ,            36
Al0.5CoCrCuFeNi                           , FCC                                                                                                                                   ,              ,  225   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi0.2                      , FCC                                                                                                                                   ,              ,  270   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi0.4                      , FCC + BCC (β1) + BCC (β2)                                                                                                             ,              ,  320   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi0.6                      , FCC + BCC (β1) + BCC (β2)                                                                                                             ,              ,  460   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi0.8                      , FCC + BCC (β1) + BCC (β2) + CoCr-like (σ)                                                                                             ,              ,  590   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi1.0                      , FCC + BCC (β1) + BCC (β2) + CoCr-like (σ)                                                                                             ,              ,  640   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi1.2                      , FCC + BCC (β1) + BCC (β2) + CoCr-like (σ) + Ti2Ni-like (TL)                                                                           ,              ,  650   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi1.4                      , FCC + BCC (β1 ordered) + BCC (β2) + Ti2Ni-like (TL)                                                                                   ,              ,  660   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi1.6                      , FCC + BCC (β1) + BCC (β2) + Ti2Ni-like (TL)                                                                                           ,              ,  660   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi1.8                      , FCC + BCC (β1) + BCC (β2) + Ti2Ni-like (TL)                                                                                           ,              ,  670   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNiTi2.0                      , FCC + BCC (β1) + BCC (β2) + Ti2Ni-like (TL)                                                                                           ,              ,  700   ,          ,                   ,                      ,               ,                   ,            37
Al0.5CoCrCuFeNi                           , FCC                                                                                                                                   ,              ,  200   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV0.2                       , FCC                                                                                                                                   ,              ,  210   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV0.4                       , FCC + BCC                                                                                                                             ,              ,  240   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV0.6                       , FCC + BCC + σ                                                                                                                         ,              ,  330   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV0.8                       , FCC + BCC + σ                                                                                                                         ,              ,  450   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV1.0                       , BCC + σ                                                                                                                               ,              ,  640   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV1.2                       , BCC                                                                                                                                   ,              ,  576   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV1.4                       , BCC                                                                                                                                   ,              ,  590   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV1.6                       , BCC                                                                                                                                   ,              ,  600   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV1.8                       , BCC                                                                                                                                   ,              ,  600   ,          ,                   ,                      ,               ,                   ,            38
Al0.5CoCrCuFeNiV2.0                       , BCC                                                                                                                                   ,              ,  595   ,          ,                   ,                      ,               ,                   ,            38
FeCoNiCuAl                                , FCC + BCC                                                                                                                             ,              ,  536.2 , C        ,                   ,               1330   ,           9   ,                   ,            39
FeCoNiCuAlSi                              , FCC + BCC                                                                                                                             ,              ,  680.4 , C        ,                   ,               1930   ,          10   ,                   ,            39
FeCoNiCuAlCr                              , FCC + BCC                                                                                                                             ,              ,  472.0 , C        ,                   ,               1510   ,          16   ,                   ,            39
FeCoNiCuAlTi                              , FCC + BCC                                                                                                                             ,              ,  625.3 , C        ,                   ,               1660   ,          11   ,                   ,            39
FeCoNiCuAlZr                              , FCC + BCC + ZrFe3Al                                                                                                                   ,              ,  472.0 , C        ,                   ,               1050   ,               ,                   ,            39
FeCoNiCuAlNd                              , Compounds                                                                                                                             ,              ,  577.6 , C        ,                   ,                670   ,               ,                   ,            39
AlCrFeCoNiCu                              , BCC + FCC                                                                                                                             ,              ,        , C        ,            1303   ,               2081   ,          24   ,                   ,            40
AlCrFeCoNiCuMn                            , BCC + FCC + unknown                                                                                                                   ,              ,        , C        ,            1005   ,               1480   ,          15   ,                   ,            40
AlCrFeCoNiCuTi                            , BCC1 + BCC2 + FCC                                                                                                                     ,              ,        , C        ,            1234   ,               1356   ,           9   ,                   ,            40
AlCrFeCoNiCuV                             , BCC + FCC                                                                                                                             ,              ,        , C        ,            1469   ,               1970   ,          16   ,                   ,            40
AlCoCrCuNiTi                              , BCC + Cu + Cr                                                                                                                         ,              ,        , C        ,                   ,               1495.0 ,           7.68,             35.545,            42
AlCoCrCuNiTiY0.5                          , Cu2Y + AlNi2Ti                                                                                                                        ,              ,        , C        ,                   ,               1024.5 ,           3.07,             35.815,            42
AlCoCrCuNiTiY0.8                          , Cu2Y + AlNi2Ti                                                                                                                        ,              ,        , C        ,                   ,               1324.5 ,           4.73,             37.69 ,            42
AlCoCrCuNiTiY                             , Cu2Y + AlNi2Ti + Cr                                                                                                                   ,              ,        , C        ,                   ,               1192.0 ,           3.54,             36.855,            42
FeCoCuNi                                  , FCC                                                                                                                                   ,              ,        , T        ,                   ,                470   ,          13.0 ,                   ,            43
FeCoCuNiSn0.02                            , FCC                                                                                                                                   ,              ,        , T        ,                   ,                550   ,          16.0 ,                   ,            43
FeCoCuNiSn0.04                            , FCC                                                                                                                                   ,              ,        , T        ,                   ,                590   ,          17.5 ,                   ,            43
FeCoCuNiSn0.05                            , FCC                                                                                                                                   ,              ,        , T        ,                   ,                610   ,          19.8 ,                   ,            43
FeCoCuNiSn0.07                            , FCC + Cu81Sn22                                                                                                                        ,              ,        , T        ,                   ,                633   ,          18.0 ,                   ,            43
FeCoCuNiSn0.1                             , FCC + Cu81Sn22                                                                                                                        ,              ,        , T        ,                   ,                600   ,           5.0 ,                   ,            43
FeCoCuNiSn0.2                             , FCC + Cu81Sn22                                                                                                                        ,              ,        , T        ,                   ,                263   ,           1.2 ,                   ,            43
FeCoCuNiSn0.5                             , FCC + Cu81Sn22                                                                                                                        ,              ,        , T        ,                   ,                      ,               ,                   ,            43
FeMnNiCuCo                                , FCC                                                                                                                                   ,              ,  210   , T        ,                   ,                450   ,          13.5 ,                   ,            44
FeMnNiCuCoSn0.03                          , FCC                                                                                                                                   ,              ,  191   , T        ,                   ,                450   ,          16.9 ,                   ,            44
FeMnNiCuCoSn0.05                          , FCC + Cu5.6Sn                                                                                                                         ,              ,  205   , T        ,                   ,                476.9 ,          10.0 ,                   ,            44
FeMnNiCuCoSn0.08                          , FCC + Cu5.6Sn                                                                                                                         ,              ,  220   , T        ,                   ,                460   ,           6.5 ,                   ,            44
FeMnNiCuCoSn0.1                           , FCC + Cu5.6Sn                                                                                                                         ,              ,  255   , T        ,                   ,                470   ,           5.0 ,                   ,            44
FeMnNiCuCoSn0.2                           , FCC + Cu5.6Sn                                                                                                                         ,              ,  320   , T        ,                   ,                367.7 ,           1.7 ,                   ,            44
AlCrFeCuNi0.6                             , BCC + FCC + AlFe0.23Ni0.77                                                                                                            ,              ,  495   , C        ,                   ,               2100   ,           3   ,                   ,            45
AlCrFeCuNi0.8                             , BCC + FCC + AlFe0.23Ni0.77                                                                                                            ,              ,  485   , C        ,                   ,               2050   ,           4.8 ,                   ,            45
AlCrFeCuNi1.0                             , BCC + FCC + AlFe0.23Ni0.77                                                                                                            ,              ,  495   , C        ,                   ,               1800   ,           2   ,                   ,            45
AlCrFeCuNi1.2                             , BCC + FCC + AlFe0.23Ni0.77                                                                                                            ,              ,  410   , C        ,                   ,               1500   ,           1.5 ,                   ,            45
AlCrFeCuNi1.4                             , BCC + FCC + AlFe0.23Ni0.77                                                                                                            ,              ,  370   , C        ,                   ,               1700   ,           2   ,                   ,            45
AlTiCrFeNiCu                              , BCC1 + BCC2 + Fe2Ti                                                                                                                   ,              ,  470   , C        ,                   ,               1219   ,           1.65,                   ,            47
Al0.20Li0.20Mg0.10Sc0.20Ti0.30            , "fcc (as-milled), hcp (annealed at 500°C)"                                                                                            ,          2.67, 5800   ,          ,                   ,                      ,               ,                   ,            48
Al0.20Li0.20Mg0.10Sc0.20Ti0.30            , hcp                                                                                                                                   ,          2.67, 4900   ,          ,                   ,                      ,               ,                   ,            48
Al0.20Li0.20Mg0.10Sc0.20Ti0.30            , fcc                                                                                                                                   ,          2.67, 6100   ,          ,                   ,                      ,               ,                   ,            48
Al0.20Li0.20Mg0.10Sc0.20Ti0.30            , fcc (distorted/separated)                                                                                                             ,          2.67, 5900   ,          ,                   ,                      ,               ,                   ,            48
Al0.20Li0.20Mg0.10Sc0.20Ti0.30            , fcc (distorted/separated)                                                                                                             ,          2.67, 5750   ,          ,                   ,                      ,               ,                   ,            48
AlLiMgZnSn                                , SS + IC                                                                                                                               ,          4.23,        , C        ,             600   ,                615   ,           1.2 ,                   ,            49
AlLi0.5MgZn0.5Sn0.2                       , SS + IC                                                                                                                               ,          3.22,        , C        ,                   ,                546   ,               ,                   ,            49
AlLi0.5MgZn0.5Cu0.2                       , SS + IC                                                                                                                               ,          3.73,        ,          ,                   ,                      ,               ,                   ,            49
AlLi0.5MgCu0.5Sn0.2                       , SS + IC                                                                                                                               ,          3.69,        ,          ,                   ,                      ,               ,                   ,            49
Al80Li5Mg5Zn5Sn5                          , SS                                                                                                                                    ,          3.05,        , C        ,             415   ,                836   ,          16   ,                   ,            49
Al80Li5Mg5Zn5Cu5                          , SS                                                                                                                                    ,          3.08,        , C        ,             488   ,                879   ,          17   ,                   ,            49
Al25Ti25Ni25Cu25                          , FCC                                                                                                                                   ,              ,  537   , C        ,             300   ,                536   ,           0.85,            108    ,            50
Al25Ti25Ni25Cu25                          , FCC                                                                                                                                   ,              ,  521   , C        ,             284   ,                498   ,           0.67,            108    ,            50
Al25Ti25Ni25Cu25                          , FCC                                                                                                                                   ,              ,  518   , C        ,             760   ,                870   ,           0.96,            108    ,            50
Al25Ti25Ni25Cu25                          , FCC                                                                                                                                   ,              ,  416   , C        ,            1103   ,               1263   ,           1.2 ,            108    ,            50
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                                                                                             ,              ,  516   , C        ,             980   ,               1326   ,           6.6 ,            145    ,            50
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                                                                                             ,              ,  434   , C        ,            1065   ,               1210   ,           1.8 ,            145    ,            50
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                                                                                             ,              ,  575   , C        ,             989   ,               1490   ,           8.5 ,            145    ,            50
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                                                                                             ,              ,  370   , C        ,             737   ,               1335   ,           8.8 ,            145    ,            50
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                                                                                             ,              ,  516   , C        ,            1074   ,               1617   ,           8.2 ,            146    ,            50
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                                                                                             ,              ,  365   , C        ,            1158   ,               1670   ,           5.8 ,            146    ,            50
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                                                                                             ,              ,  544   , C        ,             836   ,               1569   ,          13.5 ,            146    ,            50
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                                                                                             ,              ,  449   , C        ,             697   ,               1247   ,           4.3 ,            146    ,            50
AlMo0.5NbTa0.5TiZr                        , 2BCC                                                                                                                                  ,          7.4 ,    5.8 , C        ,            2000   ,               2368   ,          10   ,                   ,            51
AlNb1.5Ta0.5Ti1.5Zr0.5                    , BCC                                                                                                                                   ,          6.88,    4.0 , C        ,            1280   ,               1367   ,           3.5 ,                   ,            51
Al0.4Hf0.6NbTaTiZr                        , BCC                                                                                                                                   ,          9.05,    4.9 , C        ,            1841   ,               2269   ,          10   ,                   ,            51
Al0.3NbTaTi1.4Zr1.3                       , 2BCC                                                                                                                                  ,          8.18,    4.8 , C        ,            1965   ,               2054   ,           5.0 ,                   ,            51
Al0.3NbTa0.8Ti1.4V0.2Zr1.3                , BCC                                                                                                                                   ,          7.78,    4.9 , C        ,            1965   ,               2061   ,           5.0 ,                   ,            51
Al0.5NbTa0.8Ti1.5V0.2Zr                   , 2BCC                                                                                                                                  ,          7.42,    5.2 , C        ,            2035   ,               2105   ,           4.5 ,                   ,            51
HfNbTaTiZr                                , BCC solid solution                                                                                                                    ,          9.72,  295   , C        ,            1073   ,               1650   ,          50   ,             55    ,            52
Al0.3HfNbTaTiZr                           , BCC solid solution                                                                                                                    ,          9.53,  353   , C        ,            1188   ,               1900   ,          50   ,             63    ,            52
Al0.5HfNbTaTiZr                           , BCC solid solution                                                                                                                    ,          9.34,  396   , C        ,            1302   ,               2100   ,          46   ,             97    ,            52
Al0.75HfNbTaTiZr                          , BCC solid solution                                                                                                                    ,          9.27,  427   , C        ,            1415   ,               2150   ,          30   ,            102    ,            52
AlHfNbTaTiZr                              , BCC solid solution (dual BCC)                                                                                                         ,          8.91,  441   , C        ,            1489   ,               2200   ,          21   ,            103    ,            52
AlNbTiV                                   , BCC                                                                                                                                   ,          5.59,        , C        ,            1000   ,               1280   ,           5.2 ,                   ,            53
AlCr0.5NbTiV                              , BCC                                                                                                                                   ,          5.71,        , C        ,            1300   ,               1430   ,           0.8 ,                   ,            53
AlCrNbTiV                                 , BCC + Laves C14                                                                                                                       ,          5.82,        , C        ,            1550   ,               1570   ,           0.4 ,                   ,            53
AlCr1.5NbTiV                              , BCC + Laves C14                                                                                                                       ,          5.9 ,        , C        ,            1700   ,               1700   ,               ,                   ,            53
NbTiVTa                                   , BCC solid solution                                                                                                                    ,              ,        , C        ,            1092   ,                      ,          50   ,            115    ,            54
NbTiVTaAl0.25                             , BCC solid solution                                                                                                                    ,              ,        , C        ,            1330   ,                      ,          50   ,             98    ,            54
NbTiVTaAl0.5                              , BCC solid solution                                                                                                                    ,              ,        , C        ,            1012   ,                      ,          50   ,            100    ,            54
NbTiVTaAl1.0                              , BCC solid solution                                                                                                                    ,              ,        , C        ,             991   ,                      ,          50   ,            102    ,            54
Al0.266Nb0.238Ti0.251V0.245               , bcc                                                                                                                                   ,          5.59, 4355   , C        ,            1020   ,               1318   ,           5   ,                   ,            55
Al0.266Nb0.238Ti0.251V0.245               , bcc                                                                                                                                   ,          5.59, 4355   , C        ,             810   ,               1050   ,          12   ,                   ,            55
Al0.266Nb0.238Ti0.251V0.245               , bcc                                                                                                                                   ,          5.59, 4355   , C        ,             685   ,                      ,               ,                   ,            55
Al0.266Nb0.238Ti0.251V0.245               , bcc                                                                                                                                   ,          5.59, 4355   , C        ,             158   ,                      ,               ,                   ,            55
NbTiMoV                                   , BCC                                                                                                                                   ,              ,  440.7 , C        ,            1200   ,               2100   ,          25.62,                   ,            56
Al0.25NbTiMoV                             , BCC                                                                                                                                   ,              ,  460.1 , C        ,            1250   ,               1700   ,          12.91,                   ,            56
Al0.5NbTiMoV                              , BCC                                                                                                                                   ,              ,  486.5 , C        ,            1625   ,               2000   ,          11.25,                   ,            56
Al0.75NbTiMoV                             , BCC                                                                                                                                   ,              ,  516.6 , C        ,            1260   ,               1600   ,           7.5 ,                   ,            56
AlNbTiMoV                                 , BCC                                                                                                                                   ,              ,  536.6 , C        ,            1375   ,               1800   ,           2.5 ,                   ,            56
Al1.5NbTiMoV                              , BCC+ordered phase                                                                                                                     ,              ,  556.4 , C        ,             500   ,                600   ,           1.3 ,                   ,            56
Ti20Zr20Hf20Nb20V20                       , "BCC + u (as-cast), BCC (573-973 K), BCC + V2M Laves phase (1173 K)"                                                                  ,              , 3800   , C        ,            1170   ,               1463   ,          29.6 ,            128    ,            57
Ti20Zr20Hf20Nb20Cr20                      , BCC + Cr2Nb Laves + Cr2Hf Laves                                                                                                       ,              , 4550   , C        ,            1375   ,               2130   ,           2.8 ,            112    ,            57
Ti20Zr20Hf20Nb20Ta20                      , BCC                                                                                                                                   ,              , 3830   , C        ,             929   ,                      ,          50   ,                   ,            57
W20Nb20Mo20Ta20                           , BCC                                                                                                                                   ,              , 4460   , C        ,            1058   ,               1211   ,           1.5 ,                   ,            57
W20Nb20Mo20Ta20V20                        , BCC                                                                                                                                   ,              , 5250   , C        ,            1246   ,               1270   ,           1.7 ,                   ,            57
Nb20Cr20Mo10Ta10Ti20Zr20                  , BCC1 + BCC2 + FCC (Laves C15)                                                                                                         ,          8.23, 5288   , C        ,            1595   ,               2046   ,           5.0 ,                   ,            58
NbTiVZr                                   , "BCC (disordered solid solution), ~95% volume fraction with sub-micron second-phase particles at dislocations and subgrain boundaries",          6.52, 3285   , C        ,            1105   ,                      ,               ,             80    ,            59
NbTiV2Zr                                  , "Three disordered BCC phases with volume fractions of ~52%, 28%, and 20%"                                                             ,          6.34, 2987   , C        ,             918   ,                      ,               ,             98    ,            59
CrNbTiZr                                  , Disordered BCC phase and ordered FCC Laves phase (35% volume fraction)                                                                ,          6.67, 4099   , C        ,            1260   ,               1575   ,           6   ,            120    ,            59
CrNbTiVZr                                 , Disordered BCC phase and ordered FCC Laves phase (61% volume fraction)                                                                ,          6.57, 4720   , C        ,            1298   ,               1725   ,           3   ,            100    ,            59
Ti20Zr20Hf20Nb20V20                       , BCC + unknown phase (as-cast); BCC (573-973 K); BCC + V2M Laves phase (1173 K)                                                        ,              ,    3.8 , C        ,            1170   ,               1463   ,          29.6 ,            128    ,            60
Ti20Zr20Hf20Nb20Cr20                      , BCC + Cr2Nb Laves phase + Cr2Hf Laves phase                                                                                           ,              ,    4.55, C        ,            1375   ,               2130   ,           2.8 ,            112    ,            60
Ti20Zr20Hf20Nb20Ta20                      , BCC                                                                                                                                   ,              ,    3.83, C        ,             929   ,                      ,          50   ,            104.1  ,            60
Ta25Nb25W25Mo25                           , BCC                                                                                                                                   ,              ,    4.46, C        ,            1058   ,               1211   ,           1.5 ,            228.7  ,            60
Ta20Nb20W20Mo20V20                        , BCC                                                                                                                                   ,              ,    5.25, C        ,            1246   ,               1270   ,           1.7 ,            204.5  ,            60
Zr33.3Hf33.3Nb33.3                        , BCC                                                                                                                                   ,              ,        ,          ,                   ,                      ,               ,             81.89 ,            60
HfNbTaTiZr                                , BCC (single phase)                                                                                                                    ,          9.91,  335   , C        ,            1015   ,                      ,         450   ,             85    ,            61
HfMo0.25NbTaTiZr                          , BCC (single phase)                                                                                                                    ,          9.94,  395   , C        ,            1112   ,                      ,         450   ,             96    ,            61
HfMo0.5NbTaTiZr                           , BCC (single phase)                                                                                                                    ,          9.96,  480   , C        ,            1317   ,                      ,         450   ,            102    ,            61
HfMo0.75NbTaTiZr                          , BCC (single phase)                                                                                                                    ,          9.97,  492   , C        ,            1373   ,                      ,         450   ,            109    ,            61
HfMoNbTaTiZr                              , BCC (single phase)                                                                                                                    ,          9.97,  505   , C        ,            1512   ,                      ,          12   ,            115    ,            61
Mo0.5NbHf0.5ZrTi                          , Single BCC (body-centered cubic) solid solution                                                                                       ,              ,        , C        ,            1176   ,               1538   ,          24.61,                   ,            62
Mo0.5NbHf0.5ZrTiC0.1                      , BCC solid solution + MC carbide (FCC)                                                                                                 ,              ,        , C        ,            1183   ,               2139   ,          38.39,                   ,            62
Mo0.5NbHf0.5ZrTiC0.3                      , BCC solid solution + MC carbide (FCC)                                                                                                 ,              ,        , C        ,            1201   ,               1965   ,          32.62,                   ,            62
HfMoTaTiZr                                , BCC                                                                                                                                   ,         10.24,  542   , C        ,            1600   ,               1743   ,           4   ,                   ,            63
HfMoNbTaTiZr                              , BCC                                                                                                                                   ,          9.97,  505   , C        ,            1512   ,               1828   ,          12   ,                   ,            63
MoNbHfZrTi                                , Single disordered BCC solid solution                                                                                                  ,              ,        , C        ,            1719   ,               1803   ,          10.12,                   ,            64
MoNbHfZrTi                                , Single disordered BCC solid solution (homogenized)                                                                                    ,              ,        , C        ,            1575   ,               1640   ,           9.08,                   ,            64
HfNbTiVSi0.5                              , "BCC solid solution + multi-component silicide ((Hf, Nb, Ti)-Si)"                                                                     ,          8.6 ,  490   , C        ,            1399   ,               1608   ,          10.9 ,                   ,            65
HfNbSi0.5TiVZr                            , BCC solid solution + silicide + V-rich phase (as-cast)                                                                                ,          7.75,  464   , C        ,            1540   ,               1643   ,          16.8 ,                   ,            66
HfNbSi0.5TiVZr                            , BCC solid solution + silicide (annealed at 1373K for 4h)                                                                              ,          7.75,  496   , C        ,            1483   ,               1611   ,           9.5 ,                   ,            66
TaNbHfZrTi                                ,                                                                                                                                       ,          9.94, 3826   , C        ,             929   ,                      ,          50.0 ,                   ,            66
HfNbTiZr                                  ,                                                                                                                                       ,              ,        , C        ,             879   ,                      ,          16.5 ,                   ,            66
NbTiVZr                                   ,                                                                                                                                       ,          6.52, 3285   , C        ,            1105   ,                      ,          50.0 ,                   ,            66
CrNbTiVZr                                 ,                                                                                                                                       ,          6.57, 4720   , C        ,            1298   ,                      ,           3.0 ,                   ,            66
HfNbTaTiZr                                ,                                                                                                                                       ,          9.72, 2893   , C        ,            1073   ,                      ,          50.0 ,                   ,            66
Al0.5HfNbTaTiZr                           ,                                                                                                                                       ,          9.34, 3883   , C        ,            1302   ,                      ,          46.0 ,                   ,            66
AlHfNbTaTiZr                              ,                                                                                                                                       ,          8.91, 4325   , C        ,            1489   ,                      ,          21.0 ,                   ,            66
AlNbTiV                                   ,                                                                                                                                       ,          5.59, 4315   , C        ,            1020   ,                      ,           8.5 ,                   ,            66
NbMoTaW                                   ,                                                                                                                                       ,         13.75, 4460   , C        ,            1058   ,                      ,           2.6 ,                   ,            66
VNbMoTaW                                  ,                                                                                                                                       ,         12.36, 5420   , C        ,            1087   ,                      ,           2.4 ,                   ,            66
TaNbHfZr                                  , BCC (as-cast); BCC + minor HCP beta phase after 4+ days annealing                                                                     ,              ,  365   , C        ,            1315   ,                      ,          21.6 ,                   ,            67
Ta0.20Nb0.20Hf0.20Zr0.20Ti0.20            , BCC                                                                                                                                   ,          9.94, 3826   , C        ,             929   ,                      ,          50   ,                   ,            68
Hf0.5Nb0.5Ta0.5Ti1.5Zr                    , bcc                                                                                                                                   ,          8.13,  301   , T        ,             903   ,                990   ,          18.8 ,                   ,            69
HfNbTiZr                                  , bcc                                                                                                                                   ,              ,        , T        ,             879   ,                969   ,          14.9 ,                   ,            69
HfNbTaTiZr                                , bcc                                                                                                                                   ,              ,        , T        ,             820   ,                870   ,           7.5 ,                   ,            69
Ta0.20Nb0.20Hf0.20Zr0.20Ti0.20            , BCC                                                                                                                                   ,          9.94,        , C        ,             929   ,                      ,          50   ,                   ,            70
Nb25Mo25Ta25W25                           , BCC                                                                                                                                   ,              ,    4.46, C        ,            1058   ,               1211   ,           2.1 ,            220    ,            72
V20Nb20Mo20Ta20W20                        , BCC                                                                                                                                   ,              ,    5.42, C        ,            1246   ,               1270   ,           1.7 ,            180    ,            72
Mo0.25Nb0.25Ta0.25V0.25                   , BCC                                                                                                                                   ,              ,    4.95, C        ,            1525   ,               2400   ,          21   ,                   ,            73
NbTaTiV                                   , BCC                                                                                                                                   ,              , 3113   , C        ,             965   ,                      ,               ,                   ,            74
NbTaVW                                    , BCC                                                                                                                                   ,              , 4830   , C        ,            1530   ,                      ,          12   ,                   ,            74
NbTaTiVW                                  , BCC                                                                                                                                   ,              , 4380   , C        ,            1420   ,                      ,          20   ,                   ,            74
TiZrNbV                                   , bcc                                                                                                                                   ,          6.46,        , C        ,            1104   ,                      ,          50   ,                   ,            75
TiZrNbVMo0.3                              , bcc                                                                                                                                   ,          6.69,        , C        ,            1289   ,                      ,          42   ,                   ,            75
TiZrNbVMo0.5                              , bcc                                                                                                                                   ,          6.83,        , C        ,            1473   ,                      ,          32   ,                   ,            75
TiZrNbVMo0.7                              , bcc                                                                                                                                   ,          6.96,        , C        ,            1706   ,                      ,          32   ,                   ,            75
TiZrNbVMo1.0                              , bcc                                                                                                                                   ,          7.13,        , C        ,            1779   ,                      ,          32   ,                   ,            75
TiZrNbVMo1.3                              , bcc1+bcc2                                                                                                                             ,          7.29,        , C        ,            1496   ,                      ,          30   ,                   ,            75
TiZrNbVMo1.5                              , bcc1+bcc2                                                                                                                             ,          7.38,        , C        ,            1603   ,                      ,          20   ,                   ,            75
TiZrNbVMo1.7                              , bcc1+bcc2                                                                                                                             ,          7.48,        , C        ,            1645   ,                      ,          15   ,                   ,            75
TiZrNbVMo2.0                              , bcc1+bcc2                                                                                                                             ,          7.6 ,        , C        ,            1765   ,                      ,          12   ,                   ,            75
TiZrNbV0.3                                , bcc                                                                                                                                   ,          6.51,        , C        ,             866   ,                      ,          45   ,                   ,            75
TiZrNbV0.3Mo0.1                           , bcc                                                                                                                                   ,          6.6 ,        , C        ,             932   ,                      ,          45   ,                   ,            75
TiZrNbV0.3Mo0.3                           , bcc                                                                                                                                   ,          6.77,        , C        ,            1312   ,                      ,          50   ,                   ,            75
TiZrNbV0.3Mo0.5                           , bcc                                                                                                                                   ,          6.93,        , C        ,            1301   ,                      ,          43   ,                   ,            75
TiZrNbV0.3Mo0.7                           , bcc                                                                                                                                   ,          7.07,        , C        ,            1436   ,                      ,          26.6 ,                   ,            75
TiZrNbV0.3Mo1.0                           , bcc                                                                                                                                   ,          7.26,        , C        ,            1455   ,                      ,          25   ,                   ,            75
TiZrNbV0.3Mo1.3                           , bcc                                                                                                                                   ,          7.43,        , C        ,            1603   ,                      ,          20   ,                   ,            75
TiZrNbV0.3Mo1.5                           , bcc                                                                                                                                   ,          7.53,        , C        ,            1576   ,                      ,           8   ,                   ,            75
TiZrNbMo                                  , bcc                                                                                                                                   ,              ,        , C        ,            1550   ,               3450   ,          33.5 ,                   ,            76
TiZrNbMoV0.25                             , bcc                                                                                                                                   ,              ,        , C        ,            1700   ,               3800   ,          30.0 ,                   ,            76
TiZrNbMoV0.5                              , bcc                                                                                                                                   ,              ,        , C        ,            1600   ,               3650   ,          28.0 ,                   ,            76
TiZrNbMoV0.75                             , bcc                                                                                                                                   ,              ,        , C        ,            1650   ,               3300   ,          29.0 ,                   ,            76
