Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
316L stainless steel,SLM,single-track laser scan without powder bed,83,500,,0,60,,65,95,,0.68,,0.166,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan without powder bed,99,500,,0,60,,90,110,,0.82,,0.198,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan without powder bed,117,500,,0,60,,115,125,,0.92,,0.234,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan without powder bed,134,500,,0,60,,140,135,,1.04,,0.268,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan without powder bed,178,500,,0,60,,200,165,,1.21,,0.356,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan without powder bed,223,500,,0,60,,270,195,,1.38,,0.446,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan with powder bed,100,150,,75,55,,155.2,132.1,,1.18,,0.667,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan with powder bed,100,200,,75,55,,121.9,117.6,,1.04,,0.5,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan with powder bed,100,300,,75,55,,51.3,101.1,,0.51,,0.333,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan with powder bed,200,300,,75,55,,263.9,135.1,,1.95,,0.667,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan with powder bed,200,400,,75,55,,162.8,132.3,,1.23,,0.5,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
316L stainless steel,SLM,single-track laser scan with powder bed,200,600,,75,55,,69.8,120.0,,0.58,,0.333,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,
Ti-6Al-4V,LPBF,laser powder bed fusion,100,146,,60,50,,262,,,,,0.685,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,75,146,,60,50,,,,,,,0.514,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,150,146,,60,50,,,,,,,1.027,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,200,146,,60,50,,,,,,,1.37,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,250,146,,60,50,,,,,,,1.712,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,300,146,,60,50,,,,,,,2.055,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,50,146,,60,50,,80,,,,,0.342,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,75,455,,60,50,,,,,,,0.165,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,100,455,,60,50,,,,,,,0.22,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,150,455,,60,50,,,,,,,0.33,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,200,455,,60,50,,,,,,,0.44,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,250,455,,60,50,,,,,,,0.549,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,300,455,,60,50,,,,,,,0.659,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,100,144,,60,50,,,,,,,0.694,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,150,144,,60,50,,,,,,,1.042,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V,LPBF,laser powder bed fusion,50,144,,60,50,,80,,,,,0.347,,4430,830,31.6,1923,0.6,,,,,6.0,,,,,4.0,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
AISI 4140 steel,LPBF,laser powder bed fusion,156,600,,,88,,,,,,,0.26,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel,LPBF,laser powder bed fusion,156,600,,76.1,88,,,,,,,0.26,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel,LPBF,laser powder bed fusion,250,500,,,88,,77.5,,,,,0.5,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel,LPBF,laser powder bed fusion,250,500,,84.4,88,,62.5,,,,,0.5,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel,LPBF,laser powder bed fusion,364,500,,,88,,149.3,,,,,0.728,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel,LPBF,laser powder bed fusion,364,500,,72.6,88,,134.4,,,,,0.728,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel,LPBF,laser powder bed fusion,208,300,,,67,,272.2,,,,,0.693,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel,LPBF,laser powder bed fusion,208,300,,63.7,67,,213.4,,,,,0.693,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
Stainless Steel 316L,LPBF,single track,50,220,,50,95,,,,,,,0.227,,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,220,,50,95,,,,,,,0.67,,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,375,220,,50,95,,,,,,,1.705,,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50,100,,50,95,,,,,,,0.5,,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50,400,,50,95,,,,,,,0.125,,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,375,100,,50,95,,,,,,,3.75,,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,375,400,,50,95,,,,,,,0.9375,,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,100,,50,95,,,,,,,0.5,105263.16,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,130,,50,95,,,,,,,0.3846,80971.66,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,160,,50,95,,,,,,,0.3125,65789.47,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,190,,50,95,,,,,,,0.2632,55401.66,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,220,,50,95,,,,,,,0.2273,47846.89,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,250,,50,95,,,,,,,0.2,42105.26,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,280,,50,95,,,,,,,0.1786,37593.98,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,310,,50,95,,,,,,,0.1613,33955.86,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,340,,50,95,,,,,,,0.1471,30959.75,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,370,,50,95,,,,,,,0.1351,28449.5,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,50.0,400,,50,95,,,,,,,0.125,26315.79,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,100,,50,95,,,,,,,0.825,173684.21,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,130,,50,95,,,,,,,0.6346,133603.24,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,160,,50,95,,,,,,,0.5156,108552.63,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,190,,50,95,,,,,,,0.4342,91412.74,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,220,,50,95,,,,,,,0.375,78947.37,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,250,,50,95,,,,,,,0.33,69473.68,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,280,,50,95,,,,,,,0.2946,62030.08,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,310,,50,95,,,,,,,0.2661,56027.16,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,340,,50,95,,,,,,,0.2426,51083.59,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,370,,50,95,,,,,,,0.223,46941.68,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,82.5,400,,50,95,,,,,,,0.2062,43421.05,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,100,,50,95,,,,,,,1.15,242105.26,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,130,,50,95,,,,,,,0.8846,186234.82,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,160,,50,95,,,,,,,0.7188,151315.79,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,190,,50,95,,,,,,,0.6053,127423.82,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,220,,50,95,,,,,,,0.5227,110047.85,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,250,,50,95,,,,,,,0.46,96842.11,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,280,,50,95,,,,,,,0.4107,86466.17,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,310,,50,95,,,,,,,0.371,78098.47,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,340,,50,95,,,,,,,0.3382,71207.43,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,370,,50,95,,,,,,,0.3108,65433.85,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,115.0,400,,50,95,,,,,,,0.2875,60526.32,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,100,,50,95,,,,,,,1.475,310526.32,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,130,,50,95,,,,,,,1.1346,238866.4,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,160,,50,95,,,,,,,0.9219,194078.95,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,190,,50,95,,,,,,,0.7763,163434.9,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,220,,50,95,,,,,,,0.6705,141148.33,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,250,,50,95,,,,,,,0.59,124210.53,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,280,,50,95,,,,,,,0.5268,110902.26,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,310,,50,95,,,,,,,0.4758,100169.78,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,340,,50,95,,,,,,,0.4338,91331.27,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
Stainless Steel 316L,LPBF,single track,147.5,370,,50,95,,,,,,,0.3986,83926.03,7305,744.6,29.7,1673,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19_supp,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography - Supplementary Information,10.1016/j.addma.2020.101336
