Composition (atomic)                                                                                                    , Folder number, Type of phases                                                                                                              , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, Type of tests, σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
Ti0.5CrFeCoNiAl0.75Cu0.25                                                                                               ,            25, BCC                                                                                                                         ,                                     ,                              , C            , 1900                          , 2697                               , 12                                 ,                        164.14
Ti0.5CrFeCoNiAl                                                                                                         ,            25,                                                                                                                             ,                                     ,                              , C            , 2040                          , 3135                               , 24.2                               ,                         72.68
AlCoCrFeNi                                                                                                              ,            26, bcc solid solution                                                                                                          ,                                     ,                              , C            , 1500                          , 2830                               , 26.9                               ,                        127.0
AlCoCrFeNiTi0.5                                                                                                         ,            26, bcc solid solution                                                                                                          ,                                     ,                              , C            , 2260                          , 3140                               , 23.3                               ,                        177.7
AlCoCrFeNiTi                                                                                                            ,            26, bcc solid solution                                                                                                          ,                                     ,                              , C            , 1860                          , 2580                               , 8.8                                ,                         90.1
AlCoCrFeNiTi1.5                                                                                                         ,            26, bcc+Laves                                                                                                                   ,                                     ,                              , C            , 2220                          , 2720                               , 5.3                                ,                        159.8
Mg81Cu9.3Y4.7Zn5                                                                                                        ,            26, BMG+in situ LOS                                                                                                             ,                                     ,                              , C            , 550                           , 1160                               , 18.5                               ,                         19.2
Ti60Cu14Ni12Sn4Nb10                                                                                                     ,            26, nanostructure+in situ BCC dendrite/BMG+in situ BCC                                                                          ,                                     ,                              , C            , 1310                          , 2400                               , 14.5                               ,                         66.1
Zr56.2Ti13.8Nb5Cu6.9Ni5.6Be12.5                                                                                         ,            26, dendrite                                                                                                                    ,                                     ,                              , C            , 1300                          , 1700                               , 6.8                                ,                        110.0
Cu48Zr48Al4                                                                                                             ,            26, BMG+CuZr phase                                                                                                              ,                                     ,                              , C            , 1200                          , 1880                               , 5.3                                ,                        102.8
Ti40Zr25Ni3Cu12Be20                                                                                                     ,            26, BMG                                                                                                                         ,                                     ,                              , C            , 1680                          , 1780                               , 3.2                                ,                         90.0
Zr41.2Ti13.8Cu12.5Ni10Be22.5                                                                                            ,            26, BMG                                                                                                                         ,                                     ,                              , C            , 1640                          , 1760                               , 0.3                                ,                         96.3
Co43Fe20Ta5.5B31.5                                                                                                      ,            26, BMG                                                                                                                         ,                                     ,                              , C            , 5190                          , 5190                               ,                                    ,                        268.0
CuTiVFeNiZr                                                                                                             ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        590   ,              ,                               ,                                    ,                                    ,                           
CuTiVFeNiZr                                                                                                             ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        600   ,              ,                               ,                                    ,                                    ,                           
AlTiVFeNiZr                                                                                                             ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        800   ,              ,                               ,                                    ,                                    ,                           
AlTiVFeNiZr                                                                                                             ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        790   ,              ,                               ,                                    ,                                    ,                           
MoTiVFeNiZr                                                                                                             ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        740   ,              ,                               ,                                    ,                                    ,                           
MoTiVFeNiZr                                                                                                             ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        760   ,              ,                               ,                                    ,                                    ,                           
CuTiVFeNiZrCo                                                                                                           ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        630   ,              ,                               ,                                    ,                                    ,                           
CuTiVFeNiZrCo                                                                                                           ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        620   ,              ,                               ,                                    ,                                    ,                           
AlTiVFeNiZrCo                                                                                                           ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        790   ,              ,                               ,                                    ,                                    ,                           
AlTiVFeNiZrCo                                                                                                           ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        800   ,              ,                               ,                                    ,                                    ,                           
MoTiVFeNiZrCo                                                                                                           ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        790   ,              ,                               ,                                    ,                                    ,                           
MoTiVFeNiZrCo                                                                                                           ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        790   ,              ,                               ,                                    ,                                    ,                           
CuTiVFeNiZrCoCr                                                                                                         ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        680   ,              ,                               ,                                    ,                                    ,                           
CuTiVFeNiZrCoCr                                                                                                         ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        680   ,              ,                               ,                                    ,                                    ,                           
AlTiVFeNiZrCoCr                                                                                                         ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        780   ,              ,                               ,                                    ,                                    ,                           
AlTiVFeNiZrCoCr                                                                                                         ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        890   ,              ,                               ,                                    ,                                    ,                           
MoTiVFeNiZrCoCr                                                                                                         ,            27, not specified (as-cast)                                                                                                     ,                                     ,                        850   ,              ,                               ,                                    ,                                    ,                           
MoTiVFeNiZrCoCr                                                                                                         ,            27, "not specified (annealed, 1000C/12h)"                                                                                       ,                                     ,                        850   ,              ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNi                                                                                                         ,            27, fcc                                                                                                                         ,                                     ,                              , T            ,                               ,                                    ,                                    ,                        114
Al0.8CoCrCuFeNi                                                                                                         ,            27, fcc+bcc                                                                                                                     ,                                     ,                              , T            ,                               ,                                    ,                                    ,                        145
AlCoCrCuFeNi                                                                                                            ,            27, fcc+bcc                                                                                                                     ,                                     ,                              , T            ,                               ,                                    ,                                    ,                        163
CoCrFeMnNi                                                                                                              ,            28, single fcc                                                                                                                  ,                                     ,                        176   , T            , 209                           , 496                                , 61.7                               ,                           
Al0.07Co0.186Cr0.186Fe0.186Mn0.186Ni0.186                                                                               ,            28, single fcc                                                                                                                  ,                                     ,                        182   , T            , 242                           , 529                                , 47.2                               ,                           
Al0.11Co0.178Cr0.178Fe0.178Mn0.178Ni0.178                                                                               ,            28, fcc+bcc composite (74.6% fcc/25.4% bcc)                                                                                     ,                                     ,                              , T            , 832                           , 1174                               , 7.7                                ,                           
Al0.14Co0.172Cr0.172Fe0.172Mn0.172Ni0.172                                                                               ,            28, bcc-dominant duplex (fcc+bcc)                                                                                               ,                                     ,                        538   ,              ,                               ,                                    ,                                    ,                           
CoCrFeMnNi                                                                                                              ,            29, single fcc (as-solidified)                                                                                                  ,                                     ,                        144   ,              ,                               ,                                    ,                                    ,                           
CoCrFeMnNiV0.25                                                                                                         ,            29, fcc (as-solidified)                                                                                                         ,                                     ,                        151   ,              ,                               ,                                    ,                                    ,                           
CoCrFeMnNiV0.5                                                                                                          ,            29, fcc+sigma (as-solidified)                                                                                                   ,                                     ,                        186   ,              ,                               ,                                    ,                                    ,                           
CoCrFeMnNiV0.75                                                                                                         ,            29, fcc+sigma (as-solidified)                                                                                                   ,                                     ,                        342   ,              ,                               ,                                    ,                                    ,                           
CoCrFeMnNiV                                                                                                             ,            29, sigma matrix + fcc (as-solidified)                                                                                          ,                                     ,                        650   ,              ,                               ,                                    ,                                    ,                           
CoCrFeMnNi                                                                                                              ,            29, single fcc (annealed 1000C/24h)                                                                                             ,                                     ,                        135   , C            , 230                           ,                                    , >75                                ,                           
CoCrFeMnNiV0.25                                                                                                         ,            29, fcc + minor sigma (annealed 1000C/24h)                                                                                      ,                                     ,                        144   , C            , 200                           ,                                    , >75                                ,                           
CoCrFeMnNiV0.5                                                                                                          ,            29, fcc+sigma (annealed 1000C/24h)                                                                                              ,                                     ,                        275   , C            , 620                           ,                                    , >75                                ,                           
CoCrFeMnNiV0.75                                                                                                         ,            29, fcc+sigma (annealed 1000C/24h)                                                                                              ,                                     ,                        380   , C            , 740                           , 1325                               , 7.8                                ,                           
CoCrFeMnNiV                                                                                                             ,            29, sigma matrix + fcc (annealed 1000C/24h)                                                                                     ,                                     ,                        636   , C            , 1660                          , 1845                               , 0.5                                ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, BCC+FCC with B2 precipitates (as-cast)                                                                                      ,                                     ,                        297   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, BCC+FCC with B2 precipitates (as-forged)                                                                                    ,                                     ,                        358   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, BCC+FCC with B2 precipitates (as-homogenized)                                                                               ,                                     ,                        339   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, BCC+FCC with B2 precipitates (as-rolled 10%)                                                                                ,                                     ,                        359   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, BCC+FCC with B2 precipitates (as-rolled 30%)                                                                                ,                                     ,                        386   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, BCC+FCC with B2 precipitates (as-rolled 50%)                                                                                ,                                     ,                        407   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, BCC+FCC with B2 precipitates (as-rolled 80%)                                                                                ,                                     ,                        446   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, BCC matrix + Cr-rich BCC + B2 precipitates (as-cast)                                                                        ,                                     ,                        396   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, BCC matrix + Cr-rich BCC + B2 precipitates (as-forged)                                                                      ,                                     ,                        428   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, BCC matrix + Cr-rich BCC + B2 precipitates (as-homogenized)                                                                 ,                                     ,                        394   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, BCC matrix + Cr-rich BCC + B2 precipitates (as-rolled 10%)                                                                  ,                                     ,                        428   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, BCC matrix + Cr-rich BCC + B2 precipitates (as-rolled 30%)                                                                  ,                                     ,                        457   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, BCC matrix + Cr-rich BCC + B2 precipitates (as-rolled 50%)                                                                  ,                                     ,                        464   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, BCC matrix + Cr-rich BCC + B2 precipitates (as-rolled 80%)                                                                  ,                                     ,                        480   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, "aged 600C, 100h"                                                                                                           ,                                     ,                        850   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, "aged 700C, 5h"                                                                                                             ,                                     ,                        800   ,              ,                               ,                                    ,                                    ,                           
Al0.3CrFe1.5MnNi0.5                                                                                                     ,            30, "aged 800C, 5h"                                                                                                             ,                                     ,                        735   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, "aged 600C, 100h"                                                                                                           ,                                     ,                        890   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, "aged 700C, 50h"                                                                                                            ,                                     ,                        840   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, "aged 800C, 50h"                                                                                                            ,                                     ,                        575   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, "pre-aged 700C/10h, test at RT"                                                                                             ,                                     ,                        740   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, "pre-aged 700C/10h, test at 700C"                                                                                           ,                                     ,                        430   ,              ,                               ,                                    ,                                    ,                           
Al0.5CrFe1.5MnNi0.5                                                                                                     ,            30, "pre-aged 700C/10h, test at 800C"                                                                                           ,                                     ,                        340   ,              ,                               ,                                    ,                                    ,                           
AlCrFeNi                                                                                                                ,            31, two BCC phases (AlNi-type + FeCr-type)                                                                                      ,                                     ,                        472.4 , C            , 1406.2                        , 2926.5                             , 28.5                               ,                         55.6
AlCrFeNiMo0.2                                                                                                           ,            31, two BCC phases (AlNi-type + FeCr-type)                                                                                      ,                                     ,                        548.5 , C            , 1487.4                        , 3222.0                             , 28.7                               ,                         98.6
AlCrFeNiMo0.5                                                                                                           ,            31, two BCC phases (hypoeutectic)                                                                                               ,                                     ,                        621.5 , C            , 1748.6                        , 2643.5                             , 12.6                               ,                        128.3
AlCrFeNiMo0.8                                                                                                           ,            31, BCC + FeCrMo sigma phase (hypereutectic)                                                                                    ,                                     ,                        853.8 , C            , 1512.5                        , 1512.5                             ,                                    ,                         76.5
Cu0.5CoCrFeNi                                                                                                           ,            33, FCC matrix + Cu-rich phase + Cr-rich phase (as-cast)                                                                        ,                                     ,                        174   ,              ,                               ,                                    ,                                    ,                           
CoCrCuFeNi                                                                                                              ,            35, single FCC solid solution                                                                                                   ,                                     ,                              , C            , 230                           , 888                                , 50.2                               ,                         55.6
CoCrCuFeNiTi0.5                                                                                                         ,            35, single FCC solid solution                                                                                                   ,                                     ,                              , C            , 700                           , 1650                               , 21.6                               ,                         98.6
CoCrCuFeNiTi0.8                                                                                                         ,            35, primary FCC + eutectic (FCC + Fe2Ti-type Laves) + amorphous fraction                                                        ,                                     ,                              , C            , 1042                          , 1848                               , 2.11                               ,                        128.3
CoCrCuFeNiTi                                                                                                            ,            35, primary FCC + eutectic (FCC + Fe2Ti-type Laves) + amorphous fraction                                                        ,                                     ,                              , C            , 1272                          , 1272                               ,                                    ,                         76.5
"Al 9.09 at.%, Cr 18.18 at.%, Cu 18.18 at.%, Fe 18.18 at.%, Co 18.18 at.%, Ni 18.18 at.% (Al0.5CoCrCuFeNi)"             ,            37, FCC                                                                                                                         ,                                     ,                        224   ,              ,                               ,                                    ,                                    ,                           
"Al 8.7 at.%, Cr 17.5 at.%, Cu 17.5 at.%, Fe 17.5 at.%, Co 17.5 at.%, Ni 17.5 at.%, Ti 3.5 at.% (Al0.5CoCrCuFeNiTi0.2)" ,            37, FCC                                                                                                                         ,                                     ,                        272   ,              ,                               ,                                    ,                                    ,                           
"Al 8.4 at.%, Cr 16.9 at.%, Cu 16.9 at.%, Fe 16.9 at.%, Co 16.9 at.%, Ni 16.9 at.%, Ti 6.7 at.% (Al0.5CoCrCuFeNiTi0.4)" ,            37, "FCC + BCC (β1, β2)"                                                                                                        ,                                     ,                        320   ,              ,                               ,                                    ,                                    ,                           
"Al 8.1 at.%, Cr 16.3 at.%, Cu 16.3 at.%, Fe 16.3 at.%, Co 16.3 at.%, Ni 16.3 at.%, Ti 9.8 at.% (Al0.5CoCrCuFeNiTi0.6)" ,            37, "FCC + BCC (β1, β2)"                                                                                                        ,                                     ,                        459   ,              ,                               ,                                    ,                                    ,                           
"Al 7.9 at.%, Cr 15.8 at.%, Cu 15.8 at.%, Fe 15.8 at.%, Co 15.8 at.%, Ni 15.8 at.%, Ti 12.6 at.% (Al0.5CoCrCuFeNiTi0.8)",            37, "FCC + BCC (β1, β2) + CoCr-like (σ)"                                                                                        ,                                     ,                        588   ,              ,                               ,                                    ,                                    ,                           
"Al 7.6 at.%, Cr 15.3 at.%, Cu 15.3 at.%, Fe 15.3 at.%, Co 15.3 at.%, Ni 15.3 at.%, Ti 15.3 at.% (Al0.5CoCrCuFeNiTi1.0)",            37, "FCC + BCC (β1, β2) + CoCr-like (σ)"                                                                                        ,                                     ,                        634   ,              ,                               ,                                    ,                                    ,                           
"Al 7.4 at.%, Cr 14.9 at.%, Cu 14.9 at.%, Fe 14.9 at.%, Co 14.9 at.%, Ni 14.9 at.%, Ti 17.9 at.% (Al0.5CoCrCuFeNiTi1.2)",            37, "FCC + BCC (β1, β2) + CoCr-like (σ) + Ti2Ni-like (TL)"                                                                      ,                                     ,                        646   ,              ,                               ,                                    ,                                    ,                           
"Al 7.2 at.%, Cr 14.4 at.%, Cu 14.4 at.%, Fe 14.4 at.%, Co 14.4 at.%, Ni 14.4 at.%, Ti 20.2 at.% (Al0.5CoCrCuFeNiTi1.4)",            37, "FCC + BCC (β1 ordered, β2) + Ti2Ni-like (TL)"                                                                              ,                                     ,                        655   ,              ,                               ,                                    ,                                    ,                           
"Al 7.0 at.%, Cr 14.1 at.%, Cu 14.1 at.%, Fe 14.1 at.%, Co 14.1 at.%, Ni 14.1 at.%, Ti 22.5 at.% (Al0.5CoCrCuFeNiTi1.6)",            37, "FCC + BCC (β1 ordered, β2) + Ti2Ni-like (TL)"                                                                              ,                                     ,                        657   ,              ,                               ,                                    ,                                    ,                           
"Al 6.8 at.%, Cr 13.7 at.%, Cu 13.7 at.%, Fe 13.7 at.%, Co 13.7 at.%, Ni 13.7 at.%, Ti 24.6 at.% (Al0.5CoCrCuFeNiTi1.8)",            37, "FCC + BCC (β1 ordered, β2) + Ti2Ni-like (TL)"                                                                              ,                                     ,                        666   ,              ,                               ,                                    ,                                    ,                           
"Al 6.6 at.%, Cr 13.3 at.%, Cu 13.3 at.%, Fe 13.3 at.%, Co 13.3 at.%, Ni 13.3 at.%, Ti 26.6 at.% (Al0.5CoCrCuFeNiTi2.0)",            37, "FCC + BCC (β1 ordered, β2) + Ti2Ni-like (TL)"                                                                              ,                                     ,                        694   ,              ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiV0.2                                                                                                     ,            38, fcc (dendrite; Cu-rich fcc interdendrite present)                                                                           ,                                     ,                        295   ,              ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiV1.0                                                                                                     ,            38, bcc + σ (dendrite; Cu-rich fcc interdendrite present)                                                                       ,                                     ,                        998   ,              ,                               ,                                    ,                                    ,                           
