Composition                               , Type_of_phases                                              , rho  , HV    , Type_of_tests, sigma_Y, sigma_max, epsilon, E      , Folder
Al0.5CoCrCuFeNiV1.0                       , FCC+BCC+sigma                                               ,      ,  640  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV1.2                       , FCC+BCC                                                     ,      ,  576  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV1.4                       , FCC+BCC                                                     ,      ,  570  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV1.6                       , FCC+BCC                                                     ,      ,  570  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV1.8                       , FCC+BCC                                                     ,      ,  570  ,              ,        ,          ,        ,        ,     38
Al0.5CoCrCuFeNiV2.0                       , FCC+BCC                                                     ,      ,  570  ,              ,        ,          ,        ,        ,     38
FeCoNiCuAl                                , FCC+BCC                                                     ,      ,  536.2, C            ,        ,   1330   ,    9.0 ,        ,     39
FeCoNiCuAlSi                              , FCC+BCC                                                     ,      ,  680.4, C            ,        ,   1930   ,   10.0 ,        ,     39
FeCoNiCuAlCr                              , FCC+BCC                                                     ,      ,  472.0, C            ,        ,   1510   ,   16.0 ,        ,     39
FeCoNiCuAlTi                              , FCC+BCC                                                     ,      ,  625.3, C            ,        ,   1660   ,   11.0 ,        ,     39
FeCoNiCuAlZr                              , FCC+BCC+Intermetallic(ZrFe3Al)                              ,      ,  472.0, C            ,        ,   1050   ,    0   ,        ,     39
FeCoNiCuAlNd                              , Compounds(complex)                                          ,      ,  577.6, C            ,        ,    670   ,    0   ,        ,     39
AlCrFeCoNiCu                              , BCC+FCC                                                     ,      ,       , C            , 1303   ,   2081   ,   24.0 ,        ,     40
AlCrFeCoNiCuMn                            , BCC+FCC+unknown                                             ,      ,       , C            , 1005   ,   1480   ,   15.0 ,        ,     40
AlCrFeCoNiCuTi                            , BCC1+BCC2+FCC                                               ,      ,       , C            , 1234   ,   1356   ,    9.0 ,        ,     40
AlCrFeCoNiCuV                             , BCC+FCC                                                     ,      ,       , C            , 1469   ,   1970   ,   16.0 ,        ,     40
AlCoCrCuNiTi                              , BCC+Cu+Cr                                                   ,      ,       , C            ,        ,   1495.0 ,    7.68,  35.545,     42
AlCoCrCuNiTiY0.5                          , Cu2Y+AlNi2Ti                                                ,      ,       , C            ,        ,   1024.5 ,    3.07,  35.815,     42
AlCoCrCuNiTiY0.8                          , Cu2Y+AlNi2Ti+unknown                                        ,      ,       , C            ,        ,   1324.5 ,    4.73,  37.69 ,     42
AlCoCrCuNiTiY                             , Cu2Y+AlNi2Ti+unknown+Cr                                     ,      ,       , C            ,        ,   1192.0 ,    3.54,  36.855,     42
FeCoCuNi                                  , FCC                                                         ,      ,       , T            ,  200   ,    450   ,   12.0 ,        ,     43
FeCoCuNiSn0.02                            , FCC                                                         ,      ,       , T            ,  220   ,    490   ,   16.0 ,        ,     43
FeCoCuNiSn0.04                            , FCC                                                         ,      ,       , T            ,  260   ,    540   ,   18.0 ,        ,     43
FeCoCuNiSn0.05                            , FCC                                                         ,      ,       , T            ,  270   ,    580   ,   19.8 ,        ,     43
FeCoCuNiSn0.07                            , FCC+Cu81Sn22                                                ,      ,       , T            ,  310   ,    633   ,   17.0 ,        ,     43
FeCoCuNiSn0.1                             , FCC+Cu81Sn22                                                ,      ,       , T            ,  300   ,    500   ,    8.0 ,        ,     43
FeCoCuNiSn0.2                             , FCC+Cu81Sn22                                                ,      ,       , T            ,        ,    263   ,    1.2 ,        ,     43
FeCoCuNiSn0.5                             , FCC+Cu81Sn22                                                ,      ,       , T            ,        ,          ,        ,        ,     43
FeMnNiCuCo                                , FCC                                                         ,      ,  213  , T            ,  310   ,    440   ,   13.0 ,        ,     44
FeMnNiCuCoSn0.03                          , FCC                                                         ,      ,  191  , T            ,  280   ,    440   ,   16.9 ,        ,     44
FeMnNiCuCoSn0.05                          , FCC+Cu5.6Sn                                                 ,      ,  225  , T            ,  330   ,    476.9 ,   12.0 ,        ,     44
FeMnNiCuCoSn0.08                          , FCC+Cu5.6Sn                                                 ,      ,  260  , T            ,  310   ,    450   ,    8.0 ,        ,     44
FeMnNiCuCoSn0.1                           , FCC+Cu5.6Sn                                                 ,      ,  285  , T            ,  300   ,    430   ,    4.0 ,        ,     44
FeMnNiCuCoSn0.2                           , FCC+Cu5.6Sn                                                 ,      ,  340  , T            ,  280   ,    367.7 ,    1.7 ,        ,     44
AlCrFeCuNi0.6                             , BCC+FCC+AlFe0.23Ni0.77                                      ,      ,  530  , C            , 1300   ,   2100   ,   25.0 ,        ,     45
AlCrFeCuNi0.8                             , BCC+FCC+AlFe0.23Ni0.77                                      ,      ,  490  , C            , 1200   ,   2400   ,   35.0 ,        ,     45
AlCrFeCuNi1.0                             , BCC+FCC+AlFe0.23Ni0.77                                      ,      ,  510  , C            , 1200   ,   2000   ,   25.0 ,        ,     45
AlCrFeCuNi1.2                             , BCC+FCC+AlFe0.23Ni0.77                                      ,      ,  370  , C            ,  900   ,   1500   ,   20.0 ,        ,     45
AlCrFeCuNi1.4                             , BCC+FCC+AlFe0.23Ni0.77                                      ,      ,  300  , C            ,  700   ,   1200   ,   20.0 ,        ,     45
Al0.2CrCuFeNi2                            , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     46
Al0.5CrCuFeNi2                            , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     46
Al0.8CrCuFeNi2                            , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     46
Al1.0CrCuFeNi2                            , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     46
Al1.2CrCuFeNi2                            , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     46
Al0.5CoCrCuFeNi                           , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     46
Al0.8CoCrCuFeNi                           , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     46
Al1.0CoCrCuFeNi                           , FCC+BCC                                                     ,      ,       ,              ,        ,          ,        ,        ,     46
Al2.0CoCrCuFeNi                           , BCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     46
CoCrCuFeNi                                , FCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     46
AlTiCrFeNiCu                              , BCC+BCC+Fe2Ti                                               ,      ,  520  , C            , 1200   ,   1219   ,    3.2 ,        ,     47
Al25Ti25Ni25Cu25                          , FCC                                                         ,      ,  537  , C            ,  300   ,    536   ,    0.85, 108    ,     48
Al25Ti25Ni25Cu25                          , FCC                                                         ,      ,  521  , C            ,  284   ,    498   ,    0.67,        ,     48
Al25Ti25Ni25Cu25                          , FCC                                                         ,      ,  518  , C            ,  760   ,    870   ,    0.96,        ,     48
Al25Ti25Ni25Cu25                          , FCC                                                         ,      ,  416  , C            , 1103   ,   1263   ,    1.2 ,        ,     48
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                   ,      ,  516  , C            ,  980   ,   1326   ,    6.6 , 145    ,     48
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                   ,      ,  434  , C            , 1065   ,   1210   ,    1.8 ,        ,     48
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                   ,      ,  575  , C            ,  989   ,   1490   ,    8.5 ,        ,     48
Al22.5Ti22.5Ni20Cu20Fe15                  , FCC1+FCC2                                                   ,      ,  370  , C            ,  737   ,   1335   ,    8.8 ,        ,     48
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                   ,      ,  516  , C            , 1074   ,   1617   ,    8.2 , 146    ,     48
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                   ,      ,  365  , C            , 1158   ,   1670   ,    5.8 ,        ,     48
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                   ,      ,  544  , C            ,  836   ,   1569   ,   13.5 ,        ,     48
Al20Ti20Ni20Cu20Fe20                      , FCC1+FCC2                                                   ,      ,  449  , C            ,  697   ,   1247   ,    4.3 ,        ,     48
AlLiMgZnSn                                , Mg2Sn/Li2MgSn + alpha-Al + alpha-Zn + alpha-Sn              ,  4.23,       , C            ,        ,    615   ,    1.2 ,        ,     49
AlLi0.5MgZn0.5Sn0.2                       , Mg32(AlZn)49 + Mg2Sn/Li2MgSn + alpha-Al                     ,  3.22,       , C            ,        ,    546   ,        ,        ,     49
AlLi0.5MgZn0.5Cu0.2                       , Mg32(AlZn)49 + Unknown                                      ,  3.73,       ,              ,        ,          ,        ,        ,     49
AlLi0.5MgCu0.5Sn0.2                       , AlMgCu + Mg2Sn/Li2MgSn + alpha-Sn                           ,  3.69,       ,              ,        ,          ,        ,        ,     49
Al80Li5Mg5Zn5Sn5                          , alpha-Al + Mg2Sn/Li2MgSn + alpha-Sn                         ,  3.05,       , C            ,  415   ,    836   ,   16   ,        ,     49
Al80Li5Mg5Zn5Cu5                          , alpha-Al + Al2Cu + AlCu3                                    ,  3.08,       , C            ,  488   ,    879   ,   17   ,        ,     49
(Al0.5Mg0.5)95Li5                         , Al12Mg17 + Li + Unknown phase                               ,      ,       ,              ,        ,          ,        ,        ,     49
(Al0.5Mg0.5)90Li10                        , Al12Mg17 + Li + Unknown phase                               ,      ,       ,              ,        ,          ,        ,        ,     49
(Al0.5Mg0.5)85Li15                        , Al12Mg17 + Li + Unknown phase                               ,      ,       ,              ,        ,          ,        ,        ,     49
(Al0.5Mg0.5)75Li25                        , Al12Mg17 + Li + Unknown phase                               ,      ,       ,              ,        ,          ,        ,        ,     49
AlMgLi                                    , Al12Mg17 + Li + Unknown phase                               ,      ,       ,              ,        ,          ,        ,        ,     49
Al40Mg40Li10Cu10                          , Al12Mg17 + AlCu + Mg32Al47Cu7                               ,      ,       ,              ,        ,          ,        ,        ,     49
Al35Mg35Li15Cu15                          , Al12Mg17 + AlCu + Mg32Al47Cu7                               ,      ,       ,              ,        ,          ,        ,        ,     49
Al40Mg40Li10Zn10                          , Mg32(AlZn)49 + HCP                                          ,      ,       ,              ,        ,          ,        ,        ,     49
Al35Mg35Li15Zn15                          , Mg32(AlZn)49 + HCP                                          ,      ,       ,              ,        ,          ,        ,        ,     49
Al35Mg35Li15Cu10La5                       , Al12Mg17 + AlCu + Mg32Al47Cu7 + Al7CuLa2 + Li-rich phase    ,      ,       ,              ,        ,          ,        ,        ,     49
Al35Mg35Li15Cu10Ce5                       , Al12Mg17 + AlCu + Mg32Al47Cu7 + Al3CeCu + Li-rich phase     ,      ,       ,              ,        ,          ,        ,        ,     49
Al35Mg35Li15Zn10La5                       , Al12Mg17 + Al2LaZn2 + Mg-rich phase                         ,      ,       ,              ,        ,          ,        ,        ,     49
Al35Mg35Li5Zn10Ce5                        , Al4Ce + Mg32(AlZn)49 + Mg-rich phase                        ,      ,       ,              ,        ,          ,        ,        ,     49
Al20Li20Mg10Sc20Ti30                      , fcc                                                         ,  2.67,  591  ,              ,        ,          ,        ,        ,     50
Al20Li20Mg10Sc20Ti30                      , hcp                                                         ,  2.67,  500  ,              ,        ,          ,        ,        ,     50
"Al20Li20Mg10Sc20Ti30_w/_N,O"             , fcc                                                         ,  2.67,  622  ,              ,        ,          ,        ,        ,     50
"Al20Li20Mg10Sc20Ti30_w/_N,O"             , fcc                                                         ,  2.67,  602  ,              ,        ,          ,        ,        ,     50
"Al20Li20Mg10Sc20Ti30_w/_N,O"             , fcc                                                         ,  2.67,  586  ,              ,        ,          ,        ,        ,     50
Al25Nb25Ti25V25                           , BCC                                                         ,  5.59,       , C            , 1000   ,   1280   ,    5.2 ,        ,     51
Al25Nb25Ti25V25                           , BCC                                                         ,  5.59,       , C            ,  780   ,   1005   ,   12.5 ,        ,     51
Al25Nb25Ti25V25                           , BCC                                                         ,  5.59,       , C            ,  560   ,    700   ,   50   ,        ,     51
Al25Nb25Ti25V25                           , BCC                                                         ,  5.59,       , C            ,  110   ,          ,   50   ,        ,     51
Al22Cr11Nb22Ti22V22                       , BCC                                                         ,  5.71,       , C            , 1300   ,   1430   ,    0.8 ,        ,     51
Al22Cr11Nb22Ti22V22                       , BCC                                                         ,  5.71,       , C            , 1005   ,   1045   ,    2.5 ,        ,     51
Al22Cr11Nb22Ti22V22                       , BCC                                                         ,  5.71,       , C            ,  640   ,    685   ,   50   ,        ,     51
Al22Cr11Nb22Ti22V22                       , BCC                                                         ,  5.71,       , C            ,   40   ,     80   ,   50   ,        ,     51
Al20Cr20Nb20Ti20V20                       , BCC+C14 Laves                                               ,  5.82,       , C            , 1550   ,   1570   ,    0.4 ,        ,     51
Al20Cr20Nb20Ti20V20                       , BCC+C14 Laves                                               ,  5.82,       , C            , 1015   ,   1060   ,    1.5 ,        ,     51
Al20Cr20Nb20Ti20V20                       , BCC+C14 Laves                                               ,  5.82,       , C            ,  860   ,    895   ,   50   ,        ,     51
Al20Cr20Nb20Ti20V20                       , BCC+C14 Laves                                               ,  5.82,       , C            ,   65   ,     95   ,   50   ,        ,     51
Al18Cr27Nb18Ti18V18                       , BCC+C14 Laves                                               ,  5.9 ,       , C            , 1700   ,   1700   ,    0   ,        ,     51
Al18Cr27Nb18Ti18V18                       , BCC+C14 Laves                                               ,  5.9 ,       , C            , 1370   ,   1480   ,    0.8 ,        ,     51
Al18Cr27Nb18Ti18V18                       , BCC+C14 Laves                                               ,  5.9 ,       , C            ,  970   ,   1045   ,   50   ,        ,     51
Al18Cr27Nb18Ti18V18                       , BCC+C14 Laves                                               ,  5.9 ,       , C            ,   75   ,    105   ,   50   ,        ,     51
Al0.2Mo0.1Nb0.22Ta0.1Ti0.18Zr0.19         , 2BCC                                                        ,  7.4 ,  591  , C            , 2000   ,   2368   ,   10   ,        ,     52
Al0.22Nb0.32Ta0.09Ti0.27Zr0.10            , BCC                                                         ,  6.88,  408  , C            , 1280   ,   1367   ,    3.5 ,        ,     52
Al0.08Hf0.13Nb0.23Ta0.17Ti0.19Zr0.21      , BCC                                                         ,  9.05,  500  , C            , 1841   ,   2269   ,   10   ,        ,     52
Al0.06Nb0.24Ta0.18Ti0.27Zr0.26            , 2BCC                                                        ,  8.18,  490  , C            , 1965   ,   2054   ,    5.0 ,        ,     52
Al0.05Nb0.23Ta0.13Ti0.28V0.04Zr0.26       , BCC                                                         ,  7.78,  500  , C            , 1965   ,   2061   ,    5.0 ,        ,     52
Al0.11Nb0.22Ta0.13Ti0.28V0.05Zr0.21       , 2BCC                                                        ,  7.42,  530  , C            , 2035   ,   2105   ,    4.5 ,        ,     52
HfNbTaTiZr                                , BCC                                                         ,  9.72,  295  , C            , 1073   ,          ,   50   ,  55    ,     53
Al0.3HfNbTaTiZr                           , BCC                                                         ,  9.53,  353  , C            , 1188   ,          ,   50   ,  63    ,     53
Al0.5HfNbTaTiZr                           , BCC                                                         ,  9.34,  396  , C            , 1302   ,          ,   46   ,  97    ,     53
Al0.75HfNbTaTiZr                          , BCC                                                         ,  9.27,  427  , C            , 1415   ,          ,   30   , 102    ,     53
AlHfNbTaTiZr                              , BCC+BCC                                                     ,  8.91,  441  , C            , 1489   ,          ,   21   , 103    ,     53
Nb0.25Ti0.25Mo0.25V0.25                   , BCC                                                         ,      ,  440.7, C            , 1200   ,          ,   25.62,        ,     54
Al0.25NbTiMoV                             , BCC                                                         ,      ,  460.1, C            , 1250   ,          ,   12.91,        ,     54
Al0.5NbTiMoV                              , BCC                                                         ,      ,  486.5, C            , 1625   ,          ,   11.25,        ,     54
Al0.75NbTiMoV                             , BCC                                                         ,      ,  516.6, C            , 1260   ,          ,    7.5 ,        ,     54
AlNbTiMoV                                 , BCC                                                         ,      ,  536.6, C            , 1375   ,          ,    2.5 ,        ,     54
Al1.5NbTiMoV                              , BCC+ordered phase                                           ,      ,  556.4, C            ,  500   ,          ,    1.3 ,        ,     54
NbTiVTa                                   , BCC                                                         ,      ,       , C            , 1092   ,          ,        , 140    ,     55
NbTiVTaAl0.25                             , BCC                                                         ,      ,       , C            , 1330   ,          ,        , 138    ,     55
NbTiVTaAl0.5                              , BCC                                                         ,      ,       , C            , 1012   ,          ,        , 135    ,     55
NbTiVTaAl1.0                              , BCC                                                         ,      ,       , C            ,  991   ,          ,        , 130    ,     55
Al0.266Nb0.238Ti0.251V0.245               , BCC                                                         ,  5.59,  448  , C            , 1020   ,   1318   ,    5   ,        ,     56
Al0.266Nb0.238Ti0.251V0.245               , BCC                                                         ,  5.59,  448  , C            ,  810   ,   1050   ,   12   ,        ,     56
Al0.266Nb0.238Ti0.251V0.245               , BCC                                                         ,  5.59,  448  , C            ,  685   ,          ,        ,        ,     56
Al0.266Nb0.238Ti0.251V0.245               , BCC                                                         ,  5.59,  448  , C            ,  158   ,          ,        ,        ,     56
Ti20Zr20Hf20Nb20V20                       , BCC + u                                                     ,      , 3800  , C            , 1170   ,   1463   ,   29.6 , 128    ,     57
Ti20Zr20Hf20Nb20V20                       , BCC                                                         ,      , 3850  , C            , 1120   ,   1376   ,   30   ,        ,     57
Ti20Zr20Hf20Nb20V20                       , BCC                                                         ,      , 3820  , C            , 1253   ,   1393   ,   38   ,        ,     57
Ti20Zr20Hf20Nb20V20                       , BCC                                                         ,      , 3860  , C            , 1140   ,   1463   ,   29.7 ,        ,     57
Ti20Zr20Hf20Nb20V20                       , BCC + V2M                                                   ,      , 3810  , C            , 1157   ,   1468   ,   39.6 ,        ,     57
Ti20Zr20Hf20Nb20Cr20                      , BCC + Laves (Cr2Nb + Cr2Hf)                                 ,      , 4550  , C            , 1375   ,   2130   ,    2.8 , 112    ,     57
Ti20Zr20Hf20Nb20Cr20                      , BCC + Laves (Cr2Nb + Cr2Hf)                                 ,      , 4570  , C            , 1420   ,   1885   ,    4.2 ,        ,     57
Ti20Zr20Hf20Nb20Cr20                      , BCC + Laves (Cr2Nb + Cr2Hf)                                 ,      , 4700  , C            , 1457   ,   1908   ,    2.2 ,        ,     57
Ti20Zr20Hf20Nb20Cr20                      , BCC + Laves (Cr2Nb + Cr2Hf)                                 ,      , 4800  , C            , 1322   ,   1726   ,    1.4 ,        ,     57
Ti20Zr20Hf20Nb20Cr20                      , BCC + Laves (Cr2Nb + Cr2Hf)                                 ,      , 4500  , C            , 1328   ,   1884   ,    4.5 ,        ,     57
Ti20Zr20Hf20Nb20Ta20                      , BCC                                                         ,      , 3830  , C            ,  929   ,          ,   50   ,        ,     57
W20Nb20Mo20Ta20                           , BCC                                                         ,      , 4460  , C            , 1058   ,   1211   ,    1.5 ,        ,     57
W20Nb20Mo20Ta20V20                        , BCC                                                         ,      , 5250  , C            , 1246   ,   1270   ,    1.7 ,        ,     57
Nb20Cr20Mo10Ta10Ti20Zr20                  , BCC1 + BCC2 + FCC (Laves C15)                               ,  8.23, 5288  , C            , 1595   ,   2046   ,    5.0 ,        ,     58
Nb20Cr20Mo10Ta10Ti20Zr20                  , BCC1 + BCC2 + FCC (Laves C15)                               ,  8.23, 5288  , C            ,  983   ,   1100   ,    5.5 ,        ,     58
Nb20Cr20Mo10Ta10Ti20Zr20                  , BCC1 + BCC2 + FCC (Laves C15)                               ,  8.23, 5288  , C            ,  546   ,    630   ,        ,        ,     58
Nb20Cr20Mo10Ta10Ti20Zr20                  , BCC1 + BCC2 + FCC (Laves C15)                               ,  8.23, 5288  , C            ,  170   ,    190   ,        ,        ,     58
Nb28.3Ti24.5V23.0Zr24.2                   , BCC                                                         ,  6.52, 3285  , C            , 1105   ,          ,   50   ,  80    ,     59
Nb22.6Ti19.4V37.2Zr20.8                   , BCC (3 disordered BCC phases)                               ,  6.34, 2987  , C            ,  918   ,          ,   50   ,  98    ,     59
Cr24.6Nb26.7Ti23.9Zr24.8                  , BCC + FCC Laves (35 vol%)                                   ,  6.67, 4099  , C            , 1260   ,   1575   ,    6   , 120    ,     59
Cr20.2Nb20.0Ti19.9V19.6Zr20.3             , BCC + FCC Laves (61 vol%)                                   ,  6.57, 4720  , C            , 1298   ,   1725   ,    3   , 100    ,     59
Nb28.3Ti24.5V23.0Zr24.2                   , BCC                                                         ,  6.52,       , C            ,  834   ,          ,   50   ,        ,     59
Nb22.6Ti19.4V37.2Zr20.8                   , BCC (3 disordered BCC phases)                               ,  6.34,       , C            ,  571   ,          ,   50   ,        ,     59
Cr24.6Nb26.7Ti23.9Zr24.8                  , BCC + FCC Laves (35 vol%)                                   ,  6.67,       , C            , 1035   ,          ,   50   ,        ,     59
Cr20.2Nb20.0Ti19.9V19.6Zr20.3             , BCC + FCC Laves (61 vol%)                                   ,  6.57,       , C            , 1230   ,          ,   50   ,        ,     59
Nb28.3Ti24.5V23.0Zr24.2                   , BCC                                                         ,  6.52,       , C            ,  187   ,          ,   50   ,        ,     59
Nb22.6Ti19.4V37.2Zr20.8                   , BCC (3 disordered BCC phases)                               ,  6.34,       , C            ,  240   ,          ,   50   ,        ,     59
Cr24.6Nb26.7Ti23.9Zr24.8                  , BCC + FCC Laves (35 vol%)                                   ,  6.67,       , C            ,  300   ,          ,   50   ,        ,     59
Cr20.2Nb20.0Ti19.9V19.6Zr20.3             , BCC + FCC Laves (61 vol%)                                   ,  6.57,       , C            ,  615   ,          ,   50   ,        ,     59
Nb28.3Ti24.5V23.0Zr24.2                   , BCC                                                         ,  6.52,       , C            ,   58   ,          ,   50   ,        ,     59
Nb22.6Ti19.4V37.2Zr20.8                   , BCC (3 disordered BCC phases)                               ,  6.34,       , C            ,   72   ,          ,   50   ,        ,     59
Cr24.6Nb26.7Ti23.9Zr24.8                  , BCC + FCC Laves (35 vol%)                                   ,  6.67,       , C            ,  115   ,          ,   50   ,        ,     59
Cr20.2Nb20.0Ti19.9V19.6Zr20.3             , BCC + FCC Laves (61 vol%)                                   ,  6.57,       , C            ,  259   ,          ,   50   ,        ,     59
Ti20Zr20Hf20Nb20V20                       , BCC + unknown                                               ,      ,  387  , C            , 1170   ,   1463   ,   29.6 , 128    ,     60
Ti20Zr20Hf20Nb20V20                       , BCC                                                         ,      ,  392  , C            , 1120   ,   1376   ,   30.0 ,        ,     60
Ti20Zr20Hf20Nb20V20                       , BCC                                                         ,      ,  389  , C            , 1253   ,   1393   ,   38.0 ,        ,     60
Ti20Zr20Hf20Nb20V20                       , BCC                                                         ,      ,  393  , C            , 1140   ,   1463   ,   29.7 ,        ,     60
Ti20Zr20Hf20Nb20V20                       , BCC + V2M Laves                                             ,      ,  388  , C            , 1157   ,   1468   ,   39.6 ,        ,     60
Ti20Zr20Hf20Nb20Cr20                      , BCC + Cr2Nb + Cr2Hf Laves                                   ,      ,  464  , C            , 1375   ,   2130   ,    2.8 , 112    ,     60
Ti20Zr20Hf20Nb20Cr20                      , BCC + Cr2Nb + Cr2Hf Laves                                   ,      ,  466  , C            , 1420   ,   1885   ,    4.2 ,        ,     60
Ti20Zr20Hf20Nb20Cr20                      , BCC + Cr2Nb + Cr2Hf Laves                                   ,      ,  479  , C            , 1457   ,   1908   ,    2.2 ,        ,     60
Ti20Zr20Hf20Nb20Cr20                      , BCC + Cr2Nb + Cr2Hf Laves                                   ,      ,  489  , C            , 1322   ,   1726   ,    1.4 ,        ,     60
Ti20Zr20Hf20Nb20Cr20                      , BCC + Cr2Nb + Cr2Hf Laves                                   ,      ,  459  , C            , 1328   ,   1884   ,    4.5 ,        ,     60
Ti20Zr20Hf20Nb20Ta20                      , BCC                                                         ,      ,  390  , C            ,  929   ,          ,   50.0 ,        ,     60
W20Nb20Mo20Ta20                           , BCC                                                         ,      ,  455  , C            , 1058   ,   1211   ,    1.5 ,        ,     60
W20Nb20Mo20Ta20V20                        , BCC                                                         ,      ,  535  , C            , 1246   ,   1270   ,    1.7 ,        ,     60
Mo0.5NbHf0.5ZrTi                          , BCC                                                         ,      ,       , C            , 1176   ,   1538   ,   24.61,        ,     61
Mo0.5NbHf0.5ZrTiC0.1                      , BCC + MC carbide (FCC)                                      ,      ,       , C            , 1183   ,   2139   ,   38.39,        ,     61
Mo0.5NbHf0.5ZrTiC0.3                      , BCC + MC carbide (FCC)                                      ,      ,       , C            , 1201   ,   1965   ,   32.62,        ,     61
Hf20Nb20Ta20Ti20Zr20                      , BCC                                                         ,  9.91,  335  , C            , 1015   ,          ,        ,  85    ,     62
Hf19Mo4.8Nb19Ta19Ti19Zr19                 , BCC                                                         ,  9.94,  395  , C            , 1112   ,          ,        ,  96    ,     62
Hf18.2Mo9.1Nb18.2Ta18.2Ti18.2Zr18.2       , BCC                                                         ,  9.96,  480  , C            , 1317   ,          ,        , 102    ,     62
Hf17.4Mo13Nb17.4Ta17.4Ti17.4Zr17.4        , BCC                                                         ,  9.97,  492  , C            , 1373   ,          ,        , 109    ,     62
Hf16.7Mo16.7Nb16.7Ta16.7Ti16.7Zr16.7      , BCC                                                         ,  9.97,  505  , C            , 1512   ,          ,   12   , 115    ,     62
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                 , BCC                                                         , 10.24,  542  , C            , 1600   ,   1743   ,    4   ,        ,     63
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                 , BCC                                                         , 10.24,  542  , C            , 1045   ,   1446   ,   19   ,        ,     63
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                 , BCC                                                         , 10.24,  542  , C            ,  855   ,          ,   30   ,        ,     63
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                 , BCC                                                         , 10.24,  542  , C            ,  404   ,          ,   30   ,        ,     63
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167, BCC                                                         ,  9.97,  505  , C            , 1512   ,   1828   ,   12   ,        ,     63
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167, BCC                                                         ,  9.97,  505  , C            , 1007   ,   1489   ,   23   ,        ,     63
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167, BCC                                                         ,  9.97,  505  , C            ,  814   ,          ,   30   ,        ,     63
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167, BCC                                                         ,  9.97,  505  , C            ,  556   ,          ,   30   ,        ,     63
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2                 , BCC                                                         ,  9.94,       , C            ,  929   ,          ,   50   ,        ,     63
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2                 , BCC                                                         ,  9.94,       , C            ,   93   ,          ,        ,        ,     63
Mo0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,      ,       , C            , 1719   ,   1803   ,   10.12,        ,     64
Mo0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,      ,       , C            , 1575   ,   1640   ,    9.08,        ,     64
Mo0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,      ,       , C            ,  825   ,   1095   ,   60   ,        ,     64
Mo0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,      ,       , C            ,  728   ,    938   ,   60   ,        ,     64
Mo0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,      ,       , C            ,  635   ,    654   ,   60   ,        ,     64
Mo0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,      ,       , C            ,  397   ,    399   ,   60   ,        ,     64
Mo0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,      ,       , C            ,  187   ,    194   ,   60   ,        ,     64
HfNbTiVSi0.5                              , BCC + silicide                                              ,  8.6 ,  490  , C            , 1399   ,   1608   ,   10.9 ,        ,     65
HfNbTiVSi0.5                              , BCC + silicide                                              ,  8.6 ,  490  , C            ,  875   ,          ,        ,        ,     65
HfNbTiVSi0.5                              , BCC + silicide                                              ,  8.6 ,  490  , C            ,  240   ,          ,        ,        ,     65
HfNbSi0.5TiVZr                            , BCC + silicide + V-rich                                     ,  7.75,  464  , C            , 1540   ,   1643   ,   16.8 ,        ,     66
