Material                                                     , Process                                    , Sub-process                                                                                                     , Power  , Velocity, powder flowrate, layer thickness, beam D, Hatch spacing, depth of meltpool, width of melt pool, length of melt pool, d/w   , l/w   , 2d_over_w, D_t_ratio, HAZ_depth_um, H_W_ratio, IED_J_per_cm2, L_D_ratio, L_W_ratio, P_over_sqrt_V_W_per_sqrt_mm_s, Rosenthal_depth_um, SED_J_per_mm2, Vs_over_Sb_um, W_h_ratio, area_distribution_R2, aspect_ratio_width_to_depth, balling_percentage, build_layer_height_um, build_to_powder_ratio_percent, cavity_depth_no_powder_um, cavity_depth_with_powder_um, conduction_to_keyhole_transition_normalized_enthalpy, depression_zone_depth_um, depression_zone_width_to_depth, depression_zone_width_um, depth_difference_no_powder_um, depth_difference_with_powder_um, depth_per_energy_mm_per_J, depth_std_um, depth_to_half_width_ratio_gt, dimensionless_depth_d_star, dimensionless_enthalpy_H_star, dimensionless_width_w_star, energy_density_J_per_mm3, experimental_mean_width_um, front_wall_tilt_angle_deg, keyhole_instability_onset_normalized_enthalpy, keyholing_porosity_percentage, length_to_depth, location                                       , martensite_block_avg_diameter_um, melt_pool_depth_no_powder_um, melting_mode               , melting_regime, meltpool_boundary_depth_optical_um, meltpool_cross_section_area_um2, meltpool_depth_no_powder_um, meltpool_depth_um, meltpool_depth_with_powder_um, meltpool_width_um, model                 , morphology        , normalized_enthalpy, note                                                                                                                                                                                                                                                                                                                                                                                                                                 , notes                                                                                                                                     , number_of_parameter_combinations, number_of_tracks, numerical_experimental_difference_percent, overlap_ratio_percent, peak_temperature_K, pore_diameter_mean_um, pore_diameter_range_um, pore_diameter_std_um, powder_height_um, power_range_W, pressure_condition         , ratio_Dper_to_Wper, remelting_depth_um_experiment, remelting_depth_um_simulation, solidification_rate_m_per_s, track_length_mm, vapor_depression_Lh_um, vapor_depression_aspect_ratio, vapor_depression_aspect_ratio_D_over_Lh, vaporization_ratio_eta, velocity_range_mm_per_s, width_per_energy_mm_per_J, width_std_um, width_to_depth, width_to_depth_ratio, width_uncertainty_um, E (J/mm) , E (J/mm3), density , Cp    , k     , melting T, minimum absorptivity, Y (wt%), Zn (wt%), Mg (wt%), Si (wt%), Al (wt%), Sn (wt%), Zr (wt%), W (wt%), Ti (wt%) , V (wt%), Co (wt%), Cu (wt%), Ta (wt%), Nb (wt%), Ni (wt.%), Cr (wt.%), Fe (wt.%), Mn (wt%), Mo (wt.%), paper ID             , paper                                                                                                                                                                                  , dois
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  100   ,  146    ,                ,           0.05 , 0.05  ,              ,            262   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Average vapor depression depth 262 um with std dev 26 um (directly measured from X-ray imaging, Figure 2)"                               ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.685  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  125   ,  146    ,                ,           0.05 , 0.05  ,              ,            310   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~310 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.856  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  150   ,  146    ,                ,           0.05 , 0.05  ,              ,            420   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~420 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.027  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  200   ,  146    ,                ,           0.05 , 0.05  ,              ,            530   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~530 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.37   ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  250   ,  146    ,                ,           0.05 , 0.05  ,              ,            650   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~650 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.712  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,   50   ,  455    ,                ,           0.05 , 0.05  ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , "No vapor depression visible, no voids formed (conduction regime)"                                                                        ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.11   ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,   75   ,  455    ,                ,           0.05 , 0.05  ,              ,             85   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Onset of keyhole regime and void formation; approximate vapor depression depth ~85 um from Figure 3                                       ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.165  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  100   ,  455    ,                ,           0.05 , 0.05  ,              ,            150   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~150 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.22   ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  150   ,  455    ,                ,           0.05 , 0.05  ,              ,            225   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~225 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.33   ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  200   ,  455    ,                ,           0.05 , 0.05  ,              ,            295   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~295 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.44   ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  250   ,  455    ,                ,           0.05 , 0.05  ,              ,            380   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~380 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.549  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  300   ,  455    ,                ,           0.05 , 0.05  ,              ,            450   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Approximate vapor depression depth ~450 um from Figure 3                                                                                  ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.659  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  100   ,  144    ,                ,           0.05 , 0.05  ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , First pass for void repair study; creates keyhole voids                                                                                   ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.694  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
Ti-6Al-4V (Ti64)                                             , Laser Powder Bed Fusion (LPBF)             , Keyhole regime characterization and void formation dynamics                                                     ,  100   ,  144    ,                ,           0.05 , 0.05  ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      , Second pass repair attempt at same power; repairs original voids but creates new ones at same depth                                       ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.694  ,          , 4430    ,  830  ,  31.6 ,    1923  ,                 0.6 ,        ,         ,         ,         , 6.0     ,         ,         ,        , 90.0     ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , 17                   , Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing                                                                                                              , 10.1002/adem.201900455
