"Folder", "Composition (atomic)"                                                     , "Type of phases"                                             , "ρ (g/cm³)", "HV"    , "Type of tests", "σY (MPa)", "σmax (MPa)", "ε (%)", "E (GPa)"
"27"    , "CuCoNiCrAlFe"                                                             , "FCC + BCC (B2 + A2 spinodal)"                               , ""         , "280"   , "C"            , "960"     , ""          , ""     , "163"
"27"    , "CuCoNiCrAlFe"                                                             , "FCC + BCC (B2 + A2 spinodal)"                               , ""         , ""      , "C"            , "700"     , ""          , ""     , ""
"27"    , "CuCoNiCrAlFe"                                                             , "FCC + BCC (B2 + A2 spinodal)"                               , ""         , ""      , "C"            , "400"     , ""          , ""     , ""
"27"    , "CuCoNiCrAlFe"                                                             , "FCC + BCC (B2 + A2 spinodal)"                               , ""         , ""      , "C"            , "200"     , ""          , ""     , ""
"27"    , "CuCoNiCrAlFe"                                                             , "FCC + BCC (B2 + A2 spinodal)"                               , ""         , ""      , "C"            , "100"     , ""          , ""     , ""
"27"    , "CuCoNiCrAlFe"                                                             , "FCC + BCC (B2 + A2 spinodal)"                               , ""         , ""      , "C"            , "50"      , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , "500"   , "C"            , "1600"    , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , ""      , "C"            , "1100"    , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , ""      , "C"            , "850"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , ""      , "C"            , "600"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , ""      , "C"            , "400"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , ""      , "C"            , "100"     , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , ""      , "C"            , "50"      , ""          , ""     , ""
"27"    , "CuCoNiCrAl2.0Fe"                                                          , "FCC + BCC"                                                  , ""         , ""      , "C"            , "25"      , ""          , ""     , ""
"27"    , "CuCoNiCrAl3.0Fe"                                                          , "BCC"                                                        , ""         , "655"   , ""             , ""        , ""          , ""     , ""
"27"    , "CuCoNiCrAlFeMoTiVZr"                                                      , "BCC + BCC + amorphous"                                      , ""         , ""      , ""             , ""        , ""          , ""     , ""
"28"    , "Fe20Co20Ni20Cr20Mn20"                                                     , "FCC"                                                        , ""         , "176"   , "T"            , "209"     , "496"       , "61.7" , ""
"28"    , "Al2Fe19.6Co19.6Ni19.6Cr19.6Mn19.6"                                        , "FCC"                                                        , ""         , "175"   , "T"            , ""        , ""          , ""     , ""
"28"    , "Al3Fe19.4Co19.4Ni19.4Cr19.4Mn19.4"                                        , "FCC"                                                        , ""         , "170"   , "T"            , ""        , ""          , ""     , ""
"28"    , "Al4Fe19.2Co19.2Ni19.2Cr19.2Mn19.2"                                        , "FCC"                                                        , ""         , "170"   , "T"            , "212"     , "505"       , "55.0" , ""
"28"    , "Al7Fe18.6Co18.6Ni18.6Cr18.6Mn18.6"                                        , "FCC"                                                        , ""         , "182"   , "T"            , "242"     , "529"       , "47.2" , ""
"28"    , "Al8Fe18.4Co18.4Ni18.4Cr18.4Mn18.4"                                        , "FCC+BCC"                                                    , ""         , "185"   , "T"            , "240"     , "640"       , "34.0" , ""
"28"    , "Al9Fe18.2Co18.2Ni18.2Cr18.2Mn18.2"                                        , "FCC+BCC"                                                    , ""         , "220"   , "T"            , "270"     , "730"       , "22.0" , ""
"28"    , "Al10Fe18Co18Ni18Cr18Mn18"                                                 , "FCC+BCC"                                                    , ""         , "280"   , "T"            , "600"     , "980"       , "14.0" , ""
"28"    , "Al11Fe17.8Co17.8Ni17.8Cr17.8Mn17.8"                                       , "FCC+BCC"                                                    , ""         , "400"   , "T"            , "832"     , "1174"      , "7.7"  , ""
"28"    , "Al12Fe17.6Co17.6Ni17.6Cr17.6Mn17.6"                                       , "FCC+BCC"                                                    , ""         , "480"   , "T"            , ""        , ""          , ""     , ""
"28"    , "Al13Fe17.4Co17.4Ni17.4Cr17.4Mn17.4"                                       , "FCC+BCC"                                                    , ""         , "530"   , "T"            , ""        , ""          , ""     , ""
"28"    , "Al14Fe17.2Co17.2Ni17.2Cr17.2Mn17.2"                                       , "FCC+BCC"                                                    , ""         , "538"   , "T"            , ""        , ""          , ""     , ""
"28"    , "Al15Fe17Co17Ni17Cr17Mn17"                                                 , "FCC+BCC"                                                    , ""         , "535"   , "T"            , ""        , ""          , ""     , ""
"28"    , "Al16Fe16.8Co16.8Ni16.8Cr16.8Mn16.8"                                       , "BCC"                                                        , ""         , "535"   , "T"            , ""        , ""          , ""     , ""
"28"    , "Al20Fe16Co16Ni16Cr16Mn16"                                                 , "BCC"                                                        , ""         , "535"   , "T"            , ""        , ""          , ""     , ""
"29"    , "CoCrFeMnNi"                                                               , "FCC"                                                        , ""         , "135"   , "C"            , "230"     , ""          , "75"   , ""
"29"    , "CoCrFeMnNiV0.25"                                                          , "FCC + Sigma"                                                , ""         , "144"   , "C"            , "200"     , ""          , "75"   , ""
"29"    , "CoCrFeMnNiV0.5"                                                           , "FCC + Sigma"                                                , ""         , "275"   , "C"            , "620"     , ""          , "75"   , ""
"29"    , "CoCrFeMnNiV0.75"                                                          , "FCC + Sigma"                                                , ""         , "380"   , "C"            , "740"     , "1325"      , "7.8"  , ""
"29"    , "CoCrFeMnNiV"                                                              , "Sigma + FCC"                                                , ""         , "636"   , "C"            , "1660"    , "1845"      , "0.5"  , ""
"30"    , "Al0.3CrFe1.5MnNi0.5"                                                      , "BCC + FCC"                                                  , ""         , "297"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.3CrFe1.5MnNi0.5"                                                      , "BCC + FCC"                                                  , ""         , "358"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.3CrFe1.5MnNi0.5"                                                      , "BCC + FCC"                                                  , ""         , "339"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.3CrFe1.5MnNi0.5"                                                      , "BCC + FCC"                                                  , ""         , "359"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.3CrFe1.5MnNi0.5"                                                      , "BCC + FCC"                                                  , ""         , "386"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.3CrFe1.5MnNi0.5"                                                      , "BCC + FCC"                                                  , ""         , "407"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.3CrFe1.5MnNi0.5"                                                      , "BCC + FCC"                                                  , ""         , "446"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.5CrFe1.5MnNi0.5"                                                      , "BCC"                                                        , ""         , "396"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.5CrFe1.5MnNi0.5"                                                      , "BCC"                                                        , ""         , "428"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.5CrFe1.5MnNi0.5"                                                      , "BCC"                                                        , ""         , "394"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.5CrFe1.5MnNi0.5"                                                      , "BCC"                                                        , ""         , "428"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.5CrFe1.5MnNi0.5"                                                      , "BCC"                                                        , ""         , "457"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.5CrFe1.5MnNi0.5"                                                      , "BCC"                                                        , ""         , "464"   , ""             , ""        , ""          , ""     , ""
"30"    , "Al0.5CrFe1.5MnNi0.5"                                                      , "BCC"                                                        , ""         , "480"   , ""             , ""        , ""          , ""     , ""
"31"    , "AlCrFeNi"                                                                 , "BCC1 + BCC2"                                                , ""         , "472.4" , "C"            , "1406.2"  , "2926.5"    , "28.5" , ""
"31"    , "AlCrFeNiMo0.2"                                                            , "BCC1 + BCC2"                                                , ""         , "548.5" , "C"            , "1487.4"  , "3222.0"    , "28.7" , ""
"31"    , "AlCrFeNiMo0.5"                                                            , "BCC1 + BCC2"                                                , ""         , "621.5" , "C"            , "1748.6"  , "2643.5"    , "12.6" , ""
"31"    , "AlCrFeNiMo0.8"                                                            , "BCC1 + sigma"                                               , ""         , "853.8" , "C"            , "1512.5"  , "1512.5"    , "0"    , ""
"31"    , "AlCrFeNiMo1.0"                                                            , "BCC1 + sigma"                                               , ""         , "911.5" , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC"                                                        , ""         , "174"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC"                                                        , ""         , "161"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC"                                                        , ""         , "153"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC"                                                        , ""         , "161"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC"                                                        , ""         , "157"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC"                                                        , ""         , "145"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC + Cr-rich FCC"                                          , ""         , "164"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC + Cr-rich FCC"                                          , ""         , "163"   , ""             , ""        , ""          , ""     , ""
"33"    , "Cu0.5CoCrFeNi"                                                            , "FCC + Cr-rich FCC"                                          , ""         , "166"   , ""             , ""        , ""          , ""     , ""
"34"    , "CoCrCuFeNi"                                                               , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al0.3CoCrCuFeNi"                                                          , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al0.5CoCrCuFeNi"                                                          , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al0.8CoCrCuFeNi"                                                          , "FCC + BCC"                                                  , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al1.0CoCrCuFeNi"                                                          , "FCC + BCC + B2"                                             , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al1.3CoCrCuFeNi"                                                          , "FCC + BCC + B2"                                             , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al1.5CoCrCuFeNi"                                                          , "FCC + BCC + B2"                                             , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al1.8CoCrCuFeNi"                                                          , "FCC + BCC + B2"                                             , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al2.0CoCrCuFeNi"                                                          , "FCC + BCC + B2"                                             , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al2.3CoCrCuFeNi"                                                          , "BCC + B2"                                                   , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al2.5CoCrCuFeNi"                                                          , "BCC + B2"                                                   , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al2.8CoCrCuFeNi"                                                          , "B2"                                                         , ""         , ""      , ""             , ""        , ""          , ""     , ""
"34"    , "Al3.0CoCrCuFeNi"                                                          , "B2"                                                         , ""         , ""      , ""             , ""        , ""          , ""     , ""
"35"    , "CoCrCuFeNi"                                                               , "FCC"                                                        , ""         , ""      , "C"            , "230"     , "888"       , "50.2" , "55.6"
"35"    , "CoCrCuFeNiTi0.5"                                                          , "FCC"                                                        , ""         , ""      , "C"            , "700"     , "1650"      , "21.6" , "98.6"
"35"    , "CoCrCuFeNiTi0.8"                                                          , "FCC + Laves (Fe2Ti type)"                                   , ""         , ""      , "C"            , "1042"    , "1848"      , "2.11" , "128.3"
"35"    , "CoCrCuFeNiTi"                                                             , "FCC + Laves (Fe2Ti type)"                                   , ""         , ""      , "C"            , "1272"    , "1272"      , "0"    , "76.5"
"36"    , "Al0.5CoCrCuFeNi"                                                          , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"36"    , "Al0.5CoCrCuFeNiB0.2"                                                      , "FCC + (Cr;Fe)B borides"                                     , ""         , ""      , ""             , ""        , ""          , ""     , ""
"36"    , "Al0.5CoCrCuFeNiB0.6"                                                      , "FCC + (Cr;Fe)B borides"                                     , ""         , ""      , ""             , ""        , ""          , ""     , ""
"36"    , "Al0.5CoCrCuFeNiB1.0"                                                      , "FCC + ordered FCC + (Cr;Fe)B borides"                       , ""         , ""      , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNi"                                                          , "FCC"                                                        , ""         , "225"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi0.2"                                                     , "FCC"                                                        , ""         , "235"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi0.4"                                                     , "FCC + BCC"                                                  , ""         , "295"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi0.6"                                                     , "FCC + BCC"                                                  , ""         , "340"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi0.8"                                                     , "FCC + BCC + CoCr-like"                                      , ""         , "460"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi1.0"                                                     , "FCC + BCC + CoCr-like"                                      , ""         , "600"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi1.2"                                                     , "FCC + BCC + CoCr-like + Ti2Ni-like"                         , ""         , "640"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi1.4"                                                     , "FCC + ordered BCC + Ti2Ni-like"                             , ""         , "650"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi1.6"                                                     , "FCC + BCC + Ti2Ni-like"                                     , ""         , "660"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi1.8"                                                     , "FCC + BCC + Ti2Ni-like"                                     , ""         , "670"   , ""             , ""        , ""          , ""     , ""
"37"    , "Al0.5CoCrCuFeNiTi2.0"                                                     , "FCC + BCC + Ti2Ni-like"                                     , ""         , "700"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNi"                                                          , "FCC"                                                        , ""         , "220"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV0.2"                                                      , "FCC"                                                        , ""         , "230"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV0.4"                                                      , "FCC + BCC"                                                  , ""         , "250"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV0.6"                                                      , "FCC + BCC + sigma"                                          , ""         , "335"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV0.8"                                                      , "FCC + BCC + sigma"                                          , ""         , "450"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV1.0"                                                      , "FCC + BCC + sigma"                                          , ""         , "640"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV1.2"                                                      , "FCC + BCC"                                                  , ""         , "576"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV1.4"                                                      , "FCC + BCC"                                                  , ""         , "580"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV1.6"                                                      , "FCC + BCC"                                                  , ""         , "590"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV1.8"                                                      , "FCC + BCC"                                                  , ""         , "595"   , ""             , ""        , ""          , ""     , ""
"38"    , "Al0.5CoCrCuFeNiV2.0"                                                      , "FCC + BCC"                                                  , ""         , "570"   , ""             , ""        , ""          , ""     , ""
"39"    , "FeCoNiCuAl"                                                               , "BCC + FCC"                                                  , ""         , "536.2" , "C"            , ""        , "1330"      , "9.0"  , ""
"39"    , "FeCoNiCuAlSi"                                                             , "BCC + FCC"                                                  , ""         , "680.4" , "C"            , ""        , "1930"      , "10.0" , ""
"39"    , "FeCoNiCuAlCr"                                                             , "BCC + FCC"                                                  , ""         , "472.0" , "C"            , ""        , "1510"      , "16.0" , ""
"39"    , "FeCoNiCuAlTi"                                                             , "BCC + FCC"                                                  , ""         , "625.3" , "C"            , ""        , "1660"      , "11.0" , ""
"39"    , "FeCoNiCuAlZr"                                                             , "BCC + FCC + ZrFe3Al"                                        , ""         , "472.0" , "C"            , ""        , "1050"      , "0"    , ""
"39"    , "FeCoNiCuAlNd"                                                             , "Compounds"                                                  , ""         , "577.6" , "C"            , ""        , "670"       , "0"    , ""
"40"    , "AlCrFeCoNiCu"                                                             , "BCC + FCC"                                                  , ""         , ""      , "C"            , "1303"    , "2081"      , "24"   , ""
"40"    , "AlCrFeCoNiCuMn"                                                           , "BCC + FCC + unknown phase"                                  , ""         , ""      , "C"            , "1005"    , "1480"      , "15"   , ""
"40"    , "AlCrFeCoNiCuTi"                                                           , "BCC1 + BCC2 + FCC"                                          , ""         , ""      , "C"            , "1234"    , "1356"      , "9"    , ""
"40"    , "AlCrFeCoNiCuV"                                                            , "BCC + FCC"                                                  , ""         , ""      , "C"            , "1469"    , "1970"      , "16"   , ""
"42"    , "AlCoCrCuNiTi"                                                             , "BCC + Cu + Cr"                                              , ""         , ""      , "C"            , ""        , "1495.0"    , "7.68" , "35.545"
"42"    , "AlCoCrCuNiTiY0.5"                                                         , "Cu2Y + AlNi2Ti"                                             , ""         , ""      , "C"            , ""        , "1024.5"    , "3.07" , "35.815"
"42"    , "AlCoCrCuNiTiY0.8"                                                         , "Cu2Y + AlNi2Ti"                                             , ""         , ""      , "C"            , ""        , "1324.5"    , "4.73" , "37.69"
"42"    , "AlCoCrCuNiTiY"                                                            , "Cu2Y + AlNi2Ti + unknown phases"                            , ""         , ""      , "C"            , ""        , "1192.0"    , "3.54" , "36.855"
"43"    , "FeCoCuNi"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , ""        , "370"       , "14.0" , ""
"43"    , "FeCoCuNiSn0.02"                                                           , "FCC"                                                        , ""         , ""      , "T"            , ""        , "475"       , "15.5" , ""
"43"    , "FeCoCuNiSn0.04"                                                           , "FCC"                                                        , ""         , ""      , "T"            , ""        , "550"       , "17.5" , ""
"43"    , "FeCoCuNiSn0.05"                                                           , "FCC"                                                        , ""         , ""      , "T"            , ""        , "600"       , "19.8" , ""
"43"    , "FeCoCuNiSn0.07"                                                           , "FCC + Cu81Sn22"                                             , ""         , ""      , "T"            , ""        , "633"       , "19.0" , ""
"43"    , "FeCoCuNiSn0.1"                                                            , "FCC + Cu81Sn22"                                             , ""         , ""      , "T"            , ""        , "590"       , "12.0" , ""
"43"    , "FeCoCuNiSn0.2"                                                            , "FCC + Cu81Sn22"                                             , ""         , ""      , "T"            , ""        , "263"       , "1.2"  , ""
"43"    , "FeCoCuNiSn0.5"                                                            , "FCC + Cu81Sn22"                                             , ""         , ""      , "T"            , ""        , ""          , ""     , ""
"44"    , "FeMnNiCuCo"                                                               , "FCC"                                                        , ""         , "208"   , "T"            , ""        , "455"       , "13.5" , ""
"44"    , "FeMnNiCuCoSn0.03"                                                         , "FCC"                                                        , ""         , "191"   , "T"            , ""        , "460"       , "16.9" , ""
"44"    , "FeMnNiCuCoSn0.05"                                                         , "FCC + Cu5.6Sn"                                              , ""         , "205"   , "T"            , ""        , "476.9"     , "10.3" , ""
"44"    , "FeMnNiCuCoSn0.08"                                                         , "FCC + Cu5.6Sn"                                              , ""         , "219"   , "T"            , ""        , "410"       , "6.3"  , ""
"44"    , "FeMnNiCuCoSn0.1"                                                          , "FCC + Cu5.6Sn"                                              , ""         , "252"   , "T"            , ""        , "405"       , "5.3"  , ""
"44"    , "FeMnNiCuCoSn0.2"                                                          , "FCC + Cu5.6Sn"                                              , ""         , "318"   , "T"            , ""        , "367.7"     , "1.7"  , ""
"45"    , "AlCrFeCuNi0.6"                                                            , "BCC + FCC + AlFe0.23Ni0.77"                                 , ""         , "496"   , "C"            , ""        , "2100"      , "2.8"  , ""
"45"    , "AlCrFeCuNi0.8"                                                            , "BCC + FCC + AlFe0.23Ni0.77"                                 , ""         , "486"   , "C"            , ""        , "1800"      , "4.8"  , ""
"45"    , "AlCrFeCuNi1.0"                                                            , "BCC + FCC + AlFe0.23Ni0.77"                                 , ""         , "495"   , "C"            , ""        , "1750"      , "1.5"  , ""
"45"    , "AlCrFeCuNi1.2"                                                            , "BCC + FCC + AlFe0.23Ni0.77"                                 , ""         , "407"   , "C"            , ""        , "1200"      , "1.3"  , ""
"45"    , "AlCrFeCuNi1.4"                                                            , "BCC + FCC + AlFe0.23Ni0.77"                                 , ""         , "370"   , "C"            , ""        , "1600"      , "2.0"  , ""
"46"    , "Al0.2CrCuFeNi2"                                                           , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"46"    , "Al0.4CrCuFeNi2"                                                           , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"46"    , "Al0.6CrCuFeNi2"                                                           , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"46"    , "Al0.8CrCuFeNi2"                                                           , "FCC"                                                        , ""         , ""      , ""             , ""        , ""          , ""     , ""
"46"    , "Al1.0CrCuFeNi2"                                                           , "FCC + BCC"                                                  , ""         , ""      , ""             , ""        , ""          , ""     , ""
"46"    , "Al1.2CrCuFeNi2"                                                           , "FCC + BCC"                                                  , ""         , ""      , ""             , ""        , ""          , ""     , ""
"47"    , "AlTiCrFeNiCu"                                                             , "BCC1 + BCC2 + Fe2Ti"                                        , ""         , ""      , "C"            , ""        , "1219"      , ""     , ""
"48"    , "Al25Ti25Ni25Cu25"                                                         , "FCC"                                                        , ""         , "537"   , "C"            , "300"     , "536"       , "0.85" , "108"
"48"    , "Al25Ti25Ni25Cu25 (annealed 773K)"                                         , "FCC"                                                        , ""         , "521"   , "C"            , "284"     , "498"       , "0.67" , ""
"48"    , "Al25Ti25Ni25Cu25 (annealed 973K)"                                         , "FCC"                                                        , ""         , "518"   , "C"            , "760"     , "870"       , "0.96" , ""
"48"    , "Al25Ti25Ni25Cu25 (annealed 1173K)"                                        , "FCC"                                                        , ""         , "416"   , "C"            , "1103"    , "1263"      , "1.2"  , ""
"48"    , "Al22.5Ti22.5Ni20Cu20Fe15"                                                 , "FCC1+FCC2"                                                  , ""         , "516"   , "C"            , "980"     , "1326"      , "6.6"  , "145"
"48"    , "Al22.5Ti22.5Ni20Cu20Fe15 (annealed 773K)"                                 , "FCC1+FCC2"                                                  , ""         , "434"   , "C"            , "1065"    , "1210"      , "1.8"  , ""
"48"    , "Al22.5Ti22.5Ni20Cu20Fe15 (annealed 973K)"                                 , "FCC1+FCC2"                                                  , ""         , "575"   , "C"            , "989"     , "1490"      , "8.5"  , ""
"48"    , "Al22.5Ti22.5Ni20Cu20Fe15 (annealed 1173K)"                                , "FCC1+FCC2"                                                  , ""         , "370"   , "C"            , "737"     , "1335"      , "8.8"  , ""
"48"    , "Al20Ti20Ni20Cu20Fe20"                                                     , "FCC1+FCC2"                                                  , ""         , "516"   , "C"            , "1074"    , "1617"      , "8.2"  , "146"
"48"    , "Al20Ti20Ni20Cu20Fe20 (annealed 773K)"                                     , "FCC1+FCC2"                                                  , ""         , "365"   , "C"            , "1158"    , "1670"      , "5.8"  , ""
"48"    , "Al20Ti20Ni20Cu20Fe20 (annealed 973K)"                                     , "FCC1+FCC2"                                                  , ""         , "544"   , "C"            , "836"     , "1569"      , "13.5" , ""
"48"    , "Al20Ti20Ni20Cu20Fe20 (annealed 1173K)"                                    , "FCC1+FCC2"                                                  , ""         , "449"   , "C"            , "697"     , "1247"      , "4.3"  , ""
"49"    , "AlLiMgZnSn"                                                               , "Mg2Sn/Li2MgSn + Al + Zn + Sn"                               , "4.23"     , ""      , "C"            , "600"     , "615"       , "1.2"  , ""
"49"    , "AlLi0.5MgZn0.5Sn0.2"                                                      , "Mg2Sn/Li2MgSn + Mg32(AlZn)49 + Al"                          , "3.22"     , ""      , "C"            , ""        , "546"       , ""     , ""
"49"    , "AlLi0.5MgZn0.5Cu0.2"                                                      , "Mg32(AlZn)49 + Unknown"                                     , "3.73"     , ""      , ""             , ""        , ""          , ""     , ""
"49"    , "AlLi0.5MgCu0.5Sn0.2"                                                      , "AlCuMg + Mg2Sn/Li2MgSn + Sn"                                , "3.69"     , ""      , ""             , ""        , ""          , ""     , ""
"49"    , "Al80Li5Mg5Zn5Sn5"                                                         , "Al + Mg2Sn/Li2MgSn + Sn"                                    , "3.05"     , ""      , "C"            , "415"     , "836"       , "16"   , ""
"49"    , "Al80Li5Mg5Zn5Cu5"                                                         , "Al + Al2Cu + AlCu3"                                         , "3.08"     , ""      , "C"            , "488"     , "879"       , "17"   , ""
"50"    , "Al20Li20Mg10Sc20Ti30"                                                     , "FCC"                                                        , "2.67"     , "591"   , ""             , ""        , ""          , ""     , ""
"50"    , "Al20Li20Mg10Sc20Ti30"                                                     , "HCP"                                                        , "2.67"     , "500"   , ""             , ""        , ""          , ""     , ""
"50"    , "Al20Li20Mg10Sc20Ti30 (with N; O contamination)"                           , "FCC"                                                        , "2.67"     , "622"   , ""             , ""        , ""          , ""     , ""
"50"    , "Al20Li20Mg10Sc20Ti30 (with N; O contamination)"                           , "FCC (slight distortion/separation)"                         , "2.67"     , "602"   , ""             , ""        , ""          , ""     , ""
"50"    , "Al20Li20Mg10Sc20Ti30 (with N; O contamination)"                           , "FCC (slight distortion/separation)"                         , "2.67"     , "586"   , ""             , ""        , ""          , ""     , ""
"51"    , "AlNbTiV"                                                                  , "BCC"                                                        , "5.59"     , ""      , "C"            , "1000"    , "1280"      , "5.2"  , ""
"51"    , "AlCr0.5NbTiV"                                                             , "BCC"                                                        , "5.71"     , ""      , "C"            , "1300"    , "1430"      , "0.8"  , ""
"51"    , "AlCrNbTiV"                                                                , "BCC + C14 Laves"                                            , "5.82"     , ""      , "C"            , "1550"    , "1570"      , "0.4"  , ""
"51"    , "AlCr1.5NbTiV"                                                             , "BCC + C14 Laves"                                            , "5.9"      , ""      , "C"            , "1700"    , "1700"      , "0"    , ""
"51"    , "AlNbTiV"                                                                  , "BCC"                                                        , "5.59"     , ""      , "C"            , "780"     , "1005"      , "12.5" , ""
"51"    , "AlCr0.5NbTiV"                                                             , "BCC"                                                        , "5.71"     , ""      , "C"            , "1005"    , "1045"      , "2.5"  , ""
"51"    , "AlCrNbTiV"                                                                , "BCC + C14 Laves"                                            , "5.82"     , ""      , "C"            , "1015"    , "1060"      , "1.5"  , ""
"51"    , "AlCr1.5NbTiV"                                                             , "BCC + C14 Laves"                                            , "5.9"      , ""      , "C"            , "1370"    , "1480"      , "0.8"  , ""
"51"    , "AlNbTiV"                                                                  , "BCC"                                                        , "5.59"     , ""      , "C"            , "560"     , "700"       , "50"   , ""
"51"    , "AlCr0.5NbTiV"                                                             , "BCC"                                                        , "5.71"     , ""      , "C"            , "640"     , "685"       , "50"   , ""
"51"    , "AlCrNbTiV"                                                                , "BCC + C14 Laves"                                            , "5.82"     , ""      , "C"            , "860"     , "895"       , "50"   , ""
"51"    , "AlCr1.5NbTiV"                                                             , "BCC + C14 Laves"                                            , "5.9"      , ""      , "C"            , "970"     , "1045"      , "50"   , ""
"51"    , "AlNbTiV"                                                                  , "BCC"                                                        , "5.59"     , ""      , "C"            , "110"     , ""          , "50"   , ""
"51"    , "AlCr0.5NbTiV"                                                             , "BCC"                                                        , "5.71"     , ""      , "C"            , "40"      , "80"        , "50"   , ""
