Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,L_over_D,H_over_W,vaporization_ratio_eta,build_to_powder_ratio_percent,normalized_enthalpy_deltaH_over_hs,conduction_to_keyhole_transition_normalized_enthalpy_deltaH_over_hs,meltpool_aspect_ratio_width_to_depth,D_over_t,L_over_W,W_over_h,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),300,100,,0.1,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),360,100,,0.1,1.0,,,,,,,,,,,,,,,,,3.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),120,400,,0.1,1.0,,,,,,,,,,,,,,,,,0.3,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),240,400,,0.1,1.0,,,,,,,,,,,,,,,,,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),300,400,,0.1,1.0,,,,,,,,,,,,,,,,,0.75,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),360,400,,0.1,1.0,,,,,,,,,,,,,,,,,0.9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),120,700,,0.1,1.0,,,,,,,,,,,,,,,,,0.171428571,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),240,700,,0.1,1.0,,,,,,,,,,,,,,,,,0.342857143,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),300,700,,0.1,1.0,,,,,,,,,,,,,,,,,0.428571429,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),360,700,,0.1,1.0,,,,,,,,,,,,,,,,,0.514285714,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),120,1000,,0.1,1.0,,,,,,,,,,,,,,,,,0.12,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),240,1000,,0.1,1.0,,,,,,,,,,,,,,,,,0.24,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),300,1000,,0.1,1.0,,,,,,,,,,,,,,,,,0.3,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),360,1000,,0.1,1.0,,,,,,,,,,,,,,,,,0.36,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
Ti-6Al-4V,powder-based electron beam additive manufacturing (EBAM),finite element (FE) transient thermal modeling; DOE full-factorial simulations; ANOVA; linear regression; process maps for constant l/d and cross-sectional area (Ax),,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,13/file13,Melt Pool Geometry Simulations for Powder-Based Electron Beam Additive Manufacturing,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,850,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.23529411764705882,87.14596949891067,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,1000,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.2,74.07407407407408,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,1150,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.17391304347826086,64.4122383252818,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,1300,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.15384615384615385,56.980056980056986,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,1450,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.13793103448275862,51.08556832694764,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,1600,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.125,46.29629629629629,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,600,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.3333333333333333,123.4567901234568,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,750,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.26666666666666666,98.76543209876543,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,900,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.2222222222222222,82.3045267489712,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,1050,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.19047619047619047,70.54673721340389,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
SS316L; IN738LC,Selective Laser Melting (Laser Powder Bed Fusion),"3D numerical melt pool model (finite difference heat flow + CLSVoF melt dynamics) validated using cubic samples built on a ConceptLaser M2: 200 W continuous-wave laser (1070 nm, Gaussian), hatch distance 90 μm, layer thickness 30 μm, D4 beam diameter 90 μm; layer-wise scanning pattern rotated by 90° each layer.",200,1200,,0.03,0.09,0.09,,,,,,,,,,,,,,,,0.16666666666666666,61.7283950617284,,,,,,,,,,,,,,,,,,,,,,,,,14,Melt pool simulation for the evaluation of process parameters in selective laser melting,
Ti6Al4V (Ti-6Al-4V) powder,Selective laser melting (SLM) / laser powder bed fusion,Transient thermal FEM (DOE/CCD) + response surface methodology (RSM) + process window screening to predict melt pool dimensions,120,220,,0.03,0.1,0.05,13.13,105.15,109.85,0.124869,1.044698,,,,,,,,,,,0.545455,363.636364,4420,546,7,1933,0.3,,,,,,,,,,,,,,,,,,,,S0030-3992(17)30640-0,Determination of melt pool dimensions using DOE-FEM and RSM with process window during SLM of Ti6Al4V powder,
Ti6Al4V (Ti-6Al-4V) powder,Selective laser melting (SLM) / laser powder bed fusion,Transient thermal FEM (DOE/CCD) + response surface methodology (RSM) + process window screening to predict melt pool dimensions,120,220,,0.03,0.1,0.05,61.9,156.48,196.4,0.395578,1.255112,,,,,,,,,,,0.545455,363.636364,4420,546,7,1933,0.3,,,,,,,,,,,,,,,,,,,,S0030-3992(17)30640-0,Determination of melt pool dimensions using DOE-FEM and RSM with process window during SLM of Ti6Al4V powder,
Ti6Al4V (Ti-6Al-4V) powder,Selective laser melting (SLM) / laser powder bed fusion,Transient thermal FEM (DOE/CCD) + response surface methodology (RSM) + process window screening to predict melt pool dimensions,120,220,,0.03,0.1,0.05,63.6,156.67,209.68,0.405949,1.338355,,,,,,,,,,,0.545455,363.636364,4420,546,7,1933,0.3,,,,,,,,,,,,,,,,,,,,S0030-3992(17)30640-0,Determination of melt pool dimensions using DOE-FEM and RSM with process window during SLM of Ti6Al4V powder,
Ti6Al4V (Ti-6Al-4V) powder,Selective laser melting (SLM) / laser powder bed fusion,Transient thermal FEM (DOE/CCD) + response surface methodology (RSM) + process window screening to predict melt pool dimensions,70,270,,0.03,0.1,0.075,32.38,100.12,128.57,0.323412,1.284159,,,,,,,,,,,0.259259,115.226337,4420,546,7,1933,0.3,,,,,,,,,,,,,,,,,,,,S0030-3992(17)30640-0,Determination of melt pool dimensions using DOE-FEM and RSM with process window during SLM of Ti6Al4V powder,
Ti6Al4V (Ti-6Al-4V) powder,Selective laser melting (SLM) / laser powder bed fusion,Transient thermal FEM (DOE/CCD) + response surface methodology (RSM) + process window screening to predict melt pool dimensions,80,200,,0.03,0.1,0.075,39.6,121.02,155.26,0.327219,1.282928,,,,,,,,,,,0.4,177.777778,4420,546,7,1933,0.3,,,,,,,,,,,,,,,,,,,,S0030-3992(17)30640-0,Determination of melt pool dimensions using DOE-FEM and RSM with process window during SLM of Ti6Al4V powder,
Ti6Al4V (Ti-6Al-4V) powder,Selective laser melting (SLM) / laser powder bed fusion,Transient thermal FEM (DOE/CCD) + response surface methodology (RSM) + process window screening to predict melt pool dimensions,90,350,,0.03,0.1,0.075,37.26,115.36,156.25,0.322989,1.354456,,,,,,,,,,,0.257143,114.285714,4420,546,7,1933,0.3,,,,,,,,,,,,,,,,,,,,S0030-3992(17)30640-0,Determination of melt pool dimensions using DOE-FEM and RSM with process window during SLM of Ti6Al4V powder,
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,32,500,,,0.06,,,,,,,,,0.0,,,,,,,,0.064,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,48,500,,,0.06,,,,,,,,,0.0,,,,,,,,0.096,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,65,500,,,0.06,,,,,,,,,0.0,,,,,,,,0.13,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,83,500,,,0.06,,,,,,,,,,,,,,,,,0.166,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,99,500,,,0.06,,,,,,,,,,,,,,,,,0.198,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,117,500,,,0.06,,,,,,,,,,,,,,,,,0.234,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,134,500,,,0.06,,,,,,,,,,,,,,,,,0.268,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,178,500,,,0.06,,,,,,,,,,,,,,,,,0.356,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,223,500,,,0.06,,,,,,,,,,,,,,,,,0.446,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,100,300,,0.075,0.055,,52,103,,0.505,,,,0.0,,,,,,,,0.333,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,200,300,,0.075,0.055,,266,130,,2.046,,,,0.122,,,,,,,,0.667,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,100,150,,0.075,0.055,,150,144,,1.042,,,,0.077,,,,,,,,0.667,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,100,200,,0.075,0.055,,126,117,,1.077,,,,0.037,,,,,,,,0.5,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,200,400,,0.075,0.055,,159,125,,1.272,,,,0.091,,,,,,,,0.5,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
316L stainless steel,Laser Powder Bed Fusion,Selective Laser Melting,200,600,,0.075,0.055,,70,113,,0.619,,,,0.0,,,,,,,,0.333,,,,32,1700,0.3,,,,,,,,,,,,,,,,,,,,S2214-8604(20)30869-1,A novel heat source model for analysis of melt Pool evolution in selective laser melting process,10.1016/j.addma.2020.101497
Ti-6Al-4V (Ti64),Laser Powder Bed Fusion (LPBF),"Single-layer LPBF tracks with in situ high-speed synchrotron X-ray imaging of keyhole/vapor depression, bubble/void formation, and rescan-based void repair attempts",100,146,,,0.05,,262,,,,,,,,,,,,,,,0.685,,4430,830,31.6,1923,0.6,,,,,,,,,,,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V (Ti64),Laser Powder Bed Fusion (LPBF),"Single-layer LPBF tracks with in situ high-speed synchrotron X-ray imaging of keyhole/vapor depression, bubble/void formation, and rescan-based void repair attempts",100,144,,,0.05,,,,,,,,,,,,,,,,,0.694,,4430,830,31.6,1923,0.6,,,,,,,,,,,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V (Ti64),Laser Powder Bed Fusion (LPBF),"Single-layer LPBF tracks with in situ high-speed synchrotron X-ray imaging of keyhole/vapor depression, bubble/void formation, and rescan-based void repair attempts",150,144,,,0.05,,,,,,,,,,,,,,,,,1.042,,4430,830,31.6,1923,0.6,,,,,,,,,,,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
Ti-6Al-4V (Ti64),Laser Powder Bed Fusion (LPBF),"Single-layer LPBF tracks with in situ high-speed synchrotron X-ray imaging of keyhole/vapor depression, bubble/void formation, and rescan-based void repair attempts",50,144,,,0.05,,80,,,,,,,,,,,,,,,0.347,,4430,830,31.6,1923,0.6,,,,,,,,,,,,,,,,,,,,17,Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,10.1002/adem.201900455
AISI 4140 steel (Cr-Mo low-alloy steel),Laser Powder Bed Fusion (LPBF),Single-track LPBF with in situ synchrotron X-ray imaging,156,600,,0.0761,0.088,,,,,,,,,,50.3,,,,,,,0.26,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,file18,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel (Cr-Mo low-alloy steel),Laser Powder Bed Fusion (LPBF),Single-track LPBF with in situ synchrotron X-ray imaging,250,500,,0.0844,0.088,,62.5,,,,,,,,53.9,,,,,,,0.5,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,file18,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel (Cr-Mo low-alloy steel),Laser Powder Bed Fusion (LPBF),Single-track LPBF with in situ synchrotron X-ray imaging,364,500,,0.0726,0.088,,134.4,,,,,,,,55.1,,,,,,,0.728,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,file18,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
AISI 4140 steel (Cr-Mo low-alloy steel),Laser Powder Bed Fusion (LPBF),Single-track LPBF with in situ synchrotron X-ray imaging,208,300,,0.0637,0.067,,213.4,,,,,,,,49.4,,,,,,,0.6933,,,,,,,,,,0.26,,,,,,,,,,,,1.1,,0.86,0.19,file18,In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,
Stainless steel 316L (SS316L),Laser Powder Bed Fusion,Single-track melting,375.0,220.0,,0.05,0.095,,,,,,,,,,,12.4,,,,,,1.705,,7305.0,744.6,29.7,1673.0,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,https://doi.org/10.1016/j.addma.2020.101336
Stainless steel 316L (SS316L),Laser Powder Bed Fusion,Single-track melting,147.5,220.0,,0.05,0.095,,,,,,,,,,,4.9,,,,,,0.67,,7305.0,744.6,29.7,1673.0,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,https://doi.org/10.1016/j.addma.2020.101336
Stainless steel 316L (SS316L),Laser Powder Bed Fusion,Single-track melting,50.0,220.0,,0.05,0.095,,,,,,,,,,,1.7,,,,,,0.227,,7305.0,744.6,29.7,1673.0,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,https://doi.org/10.1016/j.addma.2020.101336
Stainless steel 316L (SS316L),Laser Powder Bed Fusion,Single-track melting,375.0,100.0,,0.05,0.095,,,,,,,,,,,,,,,,,3.75,,7305.0,744.6,29.7,1673.0,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,https://doi.org/10.1016/j.addma.2020.101336
Stainless steel 316L (SS316L),Laser Powder Bed Fusion,Single-track melting,,,,0.05,0.095,,,,,,,,,,,,7.3,,,,,,,7305.0,744.6,29.7,1673.0,0.34,,,,,,,,,,,,,,,10.4,16.5,69.5,1.27,2.02,19,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: A correlation between in situ pyrometry and ex situ X-ray radiography,https://doi.org/10.1016/j.addma.2020.101336
Ti-6Al-4V,Selective Laser Melting (SLM) / DMLS (powder bed fusion),"Single-track deposits and bulk (multi-track, multi-layer) samples on EOS M270 Yb-fiber laser system",50,500,,0.03,,,15,67,,0.24,,,,,,,,,,,,0.1,33,,,,1873,,,,,,6.0,,,,,4.0,,,,,,,,,,2,"Influence of processing parameters on the evolution of melt pool, porosity, and microstructures in Ti-6Al-4V alloy parts fabricated by selective laser melting",
Ti-6Al-4V,Selective Laser Melting (SLM) / DMLS (powder bed fusion),"Single-track deposits and bulk (multi-track, multi-layer) samples on EOS M270 Yb-fiber laser system",50,750,,0.03,,,12,50,,0.21,,,,,,,,,,,,0.06666666666666667,22,,,,1873,,,,,,6.0,,,,,4.0,,,,,,,,,,2,"Influence of processing parameters on the evolution of melt pool, porosity, and microstructures in Ti-6Al-4V alloy parts fabricated by selective laser melting",
Ti-6Al-4V,Selective Laser Melting (SLM) / DMLS (powder bed fusion),"Single-track deposits and bulk (multi-track, multi-layer) samples on EOS M270 Yb-fiber laser system",50,1000,,0.03,,,10,47,,0.2,,,,,,,,,,,,0.05,16,,,,1873,,,,,,6.0,,,,,4.0,,,,,,,,,,2,"Influence of processing parameters on the evolution of melt pool, porosity, and microstructures in Ti-6Al-4V alloy parts fabricated by selective laser melting",
Ti-6Al-4V,Selective Laser Melting (SLM) / DMLS (powder bed fusion),"Single-track deposits and bulk (multi-track, multi-layer) samples on EOS M270 Yb-fiber laser system",50,1200,,0.03,,,5,45,,0.11,,,,,,,,,,,,0.041666666666666664,13,,,,1873,,,,,,6.0,,,,,4.0,,,,,,,,,,2,"Influence of processing parameters on the evolution of melt pool, porosity, and microstructures in Ti-6Al-4V alloy parts fabricated by selective laser melting",
Ti-6Al-4V,Selective Laser Melting (SLM) / DMLS (powder bed fusion),"Single-track deposits and bulk (multi-track, multi-layer) samples on EOS M270 Yb-fiber laser system",100,500,,0.03,,,43,118,,0.37,,,,,,,,,,,,0.2,66,,,,1873,,,,,,6.0,,,,,4.0,,,,,,,,,,2,"Influence of processing parameters on the evolution of melt pool, porosity, and microstructures in Ti-6Al-4V alloy parts fabricated by selective laser melting",
