Composition (atomic)                                                                                      , Type of phases                                                                      , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, "Type of tests, C and T stands for compression and tension"    , σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
Al0.5CoCrCuFeNiTi2.0                                                                                      , "FCC + BCC (ordered β1, β2) + Ti2Ni-like"                                           ,                                     ,                        694.1 ,                                                                ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiV1.0                                                                                       , fcc + bcc + sigma                                                                   ,                                     ,                        640   , Vickers hardness (bulk alloy)                                  ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiV1.2                                                                                       , fcc + bcc                                                                           ,                                     ,                        576   , Vickers hardness (bulk alloy)                                  ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiV0.2                                                                                       , fcc (dendrite)                                                                      ,                                     ,                        295   , Vickers microhardness (dendrite)                               ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiV1.0                                                                                       , bcc + sigma (dendrite)                                                              ,                                     ,                        998   , Vickers microhardness (dendrite)                               ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiV2.0                                                                                       , bcc (dendrite)                                                                      ,                                     ,                        749   , Vickers microhardness (dendrite)                               ,                               ,                                    ,                                    ,                           
Al0.5CoCrCuFeNiVx                                                                                         , Cu-rich fcc (interdendrite)                                                         ,                                     ,                        150   , Vickers microhardness (interdendrite; reported as around value),                               ,                                    ,                                    ,                           
Fe20Co20Ni20Cu20Al20                                                                                      , FCC + BCC (BCC dominant)                                                            ,                                     ,                        536.2 , C                                                              ,                               ,                             1330   ,                                9.0 ,                           
Fe16.67Co16.67Ni16.67Cu16.67Al16.67Si16.67                                                                , FCC + BCC (BCC dominant)                                                            ,                                     ,                        680.4 , C                                                              ,                               ,                             1930   ,                               10.0 ,                           
Fe16.67Co16.67Ni16.67Cu16.67Al16.67Cr16.67                                                                , FCC + BCC (BCC dominant)                                                            ,                                     ,                        472.0 , C                                                              ,                               ,                             1510   ,                               16.0 ,                           
Fe16.67Co16.67Ni16.67Cu16.67Al16.67Ti16.67                                                                , FCC + BCC (BCC dominant)                                                            ,                                     ,                        625.3 , C                                                              ,                               ,                             1660   ,                               11.0 ,                           
Fe16.67Co16.67Ni16.67Cu16.67Al16.67Zr16.67                                                                , FCC + BCC + ZrFe3Al intermetallic                                                   ,                                     ,                        472.0 , C                                                              ,                               ,                             1050   ,                                    ,                           
Fe16.67Co16.67Ni16.67Cu16.67Al16.67Nd16.67                                                                , Compounds                                                                           ,                                     ,                        577.6 , C                                                              ,                               ,                              670   ,                                    ,                           
CoFeNi                                                                                                    , FCC                                                                                 ,                                     ,                              , C                                                              ,                         200   ,                             1700   ,                               53   ,                           
Al0.25CoFeNi                                                                                              , FCC                                                                                 ,                                     ,                              , C                                                              ,                         158.4 ,                             1800   ,                               50   ,                           
Al0.5CoFeNi                                                                                               , FCC+BCC                                                                             ,                                     ,                              , C                                                              ,                         350   ,                             2600   ,                               55   ,                           
Al0.75CoFeNi                                                                                              , FCC+BCC                                                                             ,                                     ,                              , C                                                              ,                         800   ,                             2787   ,                               31.2 ,                           
AlCoFeNi                                                                                                  , BCC                                                                                 ,                                     ,                              , C                                                              ,                         967.4 ,                             1300   ,                                7.9 ,                           
CoFeNiSi0.25                                                                                              , FCC                                                                                 ,                                     ,                              , C                                                              ,                         192.0 ,                             1800   ,                               50   ,                           
CoFeNiSi0.5                                                                                               , FCC+Ni3Si                                                                           ,                                     ,                              , C                                                              ,                         480   ,                             2350   ,                               43   ,                           
CoFeNiSi0.75                                                                                              , FCC+Ni3Si                                                                           ,                                     ,                              , C                                                              ,                        1297.1 ,                             1900   ,                                4.5 ,                           
AlCrFeCoNiCu (equimolar)                                                                                  , BCC; FCC                                                                            ,                                     ,                              , C                                                              ,                        1303   ,                             2081   ,                               24   ,                           
AlCrFeCoNiCuMn (equimolar)                                                                                , BCC; FCC; unknown phase                                                             ,                                     ,                              , C                                                              ,                        1005   ,                             1480   ,                               15   ,                           
AlCrFeCoNiCuTi (equimolar)                                                                                , BCC1; BCC2; FCC                                                                     ,                                     ,                              , C                                                              ,                        1234   ,                             1356   ,                                9   ,                           
AlCrFeCoNiCuV (equimolar)                                                                                 , BCC; FCC                                                                            ,                                     ,                              , C                                                              ,                        1469   ,                             1970   ,                               16   ,                           
"{'Al': 16.6667, 'Co': 16.6667, 'Cr': 16.6667, 'Cu': 16.6667, 'Ni': 16.6667, 'Ti': 16.6667}"              , BCC; Cu; Cr                                                                         ,                                     ,                              , C                                                              ,                               ,                             1495.0 ,                                7.68,                         35.545
"{'Al': 15.3846, 'Co': 15.3846, 'Cr': 15.3846, 'Cu': 15.3846, 'Ni': 15.3846, 'Ti': 15.3846, 'Y': 7.6923}" , AlNi2Ti; Cu2Y                                                                       ,                                     ,                              , C                                                              ,                               ,                             1024.5 ,                                3.07,                         35.815
"{'Al': 14.7059, 'Co': 14.7059, 'Cr': 14.7059, 'Cu': 14.7059, 'Ni': 14.7059, 'Ti': 14.7059, 'Y': 11.7647}", AlNi2Ti; Cu2Y                                                                       ,                                     ,                              , C                                                              ,                               ,                             1324.5 ,                                4.73,                         37.69
"{'Al': 14.2857, 'Co': 14.2857, 'Cr': 14.2857, 'Cu': 14.2857, 'Ni': 14.2857, 'Ti': 14.2857, 'Y': 14.2857}", AlNi2Ti; Cu2Y; unknown                                                              ,                                     ,                              , C                                                              ,                               ,                             1192.0 ,                                3.54,                         36.855
Fe24.6914Co24.6914Cu24.6914Ni24.6914Sn1.2346 (FeCoCuNiSn0.05)                                             , FCC (no intermetallic compounds observed in TEM for x=0.05)                         ,                                     ,                              , T                                                              ,                               ,                                    ,                               19.8 ,                           
Fe24.5700Co24.5700Cu24.5700Ni24.5700Sn1.7199 (FeCoCuNiSn0.07)                                             , FCC + Cu81Sn22 intermetallic compounds                                              ,                                     ,                              , T                                                              ,                               ,                              633   ,                                    ,                           
Fe23.8095Co23.8095Cu23.8095Ni23.8095Sn4.7619 (FeCoCuNiSn0.2)                                              , FCC + Cu81Sn22 intermetallic compounds (massive precipitates observed)              ,                                     ,                              , T                                                              ,                               ,                              263   ,                                1.2 ,                           
Fe22.2222Co22.2222Cu22.2222Ni22.2222Sn11.1111 (FeCoCuNiSn0.5)                                             , FCC + Cu81Sn22 intermetallic compounds                                              ,                                     ,                              , T                                                              ,                               ,                                    ,                                    ,                           
FeMnNiCuCoSn0.03                                                                                          , FCC (100%)                                                                          ,                                     ,                        191.0 , T                                                              ,                               ,                                    ,                               16.9 ,                           
FeMnNiCuCoSn0.05                                                                                          , FCC (84.4%); Cu5.6Sn (15.6%)                                                        ,                                     ,                              , T                                                              ,                               ,                              476.9 ,                                    ,                           
FeMnNiCuCoSn0.2                                                                                           , FCC (61.9%); Cu5.6Sn (38.1%)                                                        ,                                     ,                              , T                                                              ,                               ,                              367.7 ,                                1.7 ,                           
AlCrFeCuNi0.6                                                                                             , BCC + FCC + AlFe0.23Ni0.77                                                          ,                                     ,                              , C                                                              ,                               ,                                    ,                                    ,                           
AlCrFeCuNi0.8                                                                                             , BCC + FCC + AlFe0.23Ni0.77                                                          ,                                     ,                              , C                                                              ,                               ,                                    ,                                    ,                           
AlCrFeCuNi1.0                                                                                             , BCC + FCC + AlFe0.23Ni0.77                                                          ,                                     ,                              , C                                                              ,                               ,                                    ,                                    ,                           
AlCrFeCuNi1.2                                                                                             , BCC + FCC + AlFe0.23Ni0.77                                                          ,                                     ,                              , C                                                              ,                               ,                                    ,                                    ,                           
AlCrFeCuNi1.4                                                                                             , BCC + FCC + AlFe0.23Ni0.77                                                          ,                                     ,                              , C                                                              ,                               ,                                    ,                                    ,                           
AlTiCrFeNiCu (nominal composition; atomic percentages not reported)                                       , two BCC solid-solution phases + minor Fe2Ti                                         ,                                     ,                              , C                                                              ,                               ,                             1219   ,                                    ,                           
Al25Ti25Ni25Cu25                                                                                          , FCC                                                                                 ,                                     ,                        537   , C                                                              ,                         300   ,                              536   ,                                0.85,                        108
Al25Ti25Ni25Cu25                                                                                          , FCC                                                                                 ,                                     ,                        521   , C                                                              ,                         284   ,                              498   ,                                0.67,                           
Al25Ti25Ni25Cu25                                                                                          , FCC                                                                                 ,                                     ,                        518   , C                                                              ,                         760   ,                              870   ,                                0.96,                           
Al25Ti25Ni25Cu25                                                                                          , FCC                                                                                 ,                                     ,                        416   , C                                                              ,                        1103   ,                             1263   ,                                1.2 ,                           
Al22.5Ti22.5Ni20Cu20Fe15                                                                                  , FCC1+FCC2                                                                           ,                                     ,                        516   , C                                                              ,                         980   ,                             1326   ,                                6.6 ,                        145
Al22.5Ti22.5Ni20Cu20Fe15                                                                                  , FCC1+FCC2                                                                           ,                                     ,                        434   , C                                                              ,                        1065   ,                             1210   ,                                1.8 ,                           
Al22.5Ti22.5Ni20Cu20Fe15                                                                                  , FCC1+FCC2                                                                           ,                                     ,                        575   , C                                                              ,                         989   ,                             1490   ,                                8.5 ,                           
Al22.5Ti22.5Ni20Cu20Fe15                                                                                  , FCC1+FCC2                                                                           ,                                     ,                        370   , C                                                              ,                         737   ,                             1335   ,                                8.8 ,                           
Al20Ti20Ni20Cu20Fe20                                                                                      , FCC1+FCC2                                                                           ,                                     ,                        516   , C                                                              ,                        1074   ,                             1617   ,                                8.2 ,                        146
Al20Ti20Ni20Cu20Fe20                                                                                      , FCC1+FCC2                                                                           ,                                     ,                        365   , C                                                              ,                        1158   ,                             1670   ,                                5.8 ,                           
Al20Ti20Ni20Cu20Fe20                                                                                      , FCC1+FCC2                                                                           ,                                     ,                        544   , C                                                              ,                         836   ,                             1569   ,                               13.5 ,                           
Al20Ti20Ni20Cu20Fe20                                                                                      , FCC1+FCC2                                                                           ,                                     ,                        449   , C                                                              ,                         697   ,                             1247   ,                                4.3 ,                           
Al20Li20Mg20Zn20Sn20                                                                                      , Mg2Sn/Li2MgSn + alpha-Al + alpha-Zn + Sn-rich solid solution                        ,                                 4.23,                              , C                                                              ,                         600   ,                              615   ,                                1.2 ,                           
Al31.25Li15.625Mg31.25Zn15.625Sn6.25                                                                      , Mg32(AlZn)49 + Mg2Sn/Li2MgSn + alpha-Al                                             ,                                 3.22,                              , C                                                              ,                               ,                              546   ,                                    ,                           
Al80Li5Mg5Zn5Cu5                                                                                          , alpha-Al + Al2Cu + AlCu3                                                            ,                                 3.08,                              , C                                                              ,                         488   ,                              879   ,                               17   ,                           
Al80Li5Mg5Zn5Sn5                                                                                          , alpha-Al + Mg2Sn/Li2MgSn + Sn-solid solution                                        ,                                 3.05,                              , C                                                              ,                         415   ,                              836   ,                               16   ,                           
Fe0.25Ni0.25Co0.25Cr0.25                                                                                  , single-phase fcc solid solution                                                     ,                                     ,                              , T                                                              ,                         274.1 ,                              700   ,                               37   ,                        215.0
Fe0.25Ni0.25Co0.25Mn0.25                                                                                  , single-phase fcc solid solution                                                     ,                                     ,                              , T                                                              ,                         175.0 ,                              540   ,                               40   ,                        187.9
Ni0.25Co0.25Cr0.25Mn0.25                                                                                  , single-phase fcc solid solution                                                     ,                                     ,                              , T                                                              ,                         285.2 ,                              670   ,                               42   ,                        195.0
Fe0.333Ni0.333Co0.333                                                                                     , single-phase fcc solid solution                                                     ,                                     ,                              , T                                                              ,                         216.3 ,                              510   ,                               30   ,                        162.0
Ni0.333Co0.333Cr0.333                                                                                     , single-phase fcc solid solution                                                     ,                                     ,                              , T                                                              ,                         302.3 ,                              860   ,                               60   ,                        226.2
Fe0.333Ni0.333Mn0.333                                                                                     , single-phase fcc solid solution                                                     ,                                     ,                              , T                                                              ,                         245.0 ,                              550   ,                               35   ,                        181.0
Ni0.333Co0.333Mn0.333                                                                                     , single-phase fcc solid solution                                                     ,                                     ,                              , T                                                              ,                         234.6 ,                              660   ,                               43   ,                        189.4
Al20Li20Mg10Sc20Ti30                                                                                      , fcc                                                                                 ,                                 2.67,                        591.4 ,                                                                ,                               ,                                    ,                                    ,                           
Al20Li20Mg10Sc20Ti30                                                                                      , hcp                                                                                 ,                                 2.67,                        499.6 ,                                                                ,                               ,                                    ,                                    ,                           
Al20Li20Mg10Sc20Ti30 + 0.4 at.% N + 1.39 at.% O                                                           , fcc                                                                                 ,                                     ,                        621.9 ,                                                                ,                               ,                                    ,                                    ,                           
Al20Li20Mg10Sc20Ti30 + 0.4 at.% N + 1.39 at.% O                                                           , fcc-like (slight phase separation/distortion)                                       ,                                     ,                        601.6 ,                                                                ,                               ,                                    ,                                    ,                           
Al20Li20Mg10Sc20Ti30 + 0.4 at.% N + 1.39 at.% O                                                           , fcc-like (slight phase separation/distortion)                                       ,                                     ,                        586.3 ,                                                                ,                               ,                                    ,                                    ,                           
"{'Al': 27.6, 'Cr': 0.0, 'Nb': 24.1, 'Ti': 24.8, 'V': 23.5}"                                              , bcc                                                                                 ,                                 5.59,                              , C                                                              ,                        1000   ,                             1280   ,                                5.2 ,                           
"{'Al': 27.6, 'Cr': 0.0, 'Nb': 24.1, 'Ti': 24.8, 'V': 23.5}"                                              , bcc                                                                                 ,                                 5.59,                              , C                                                              ,                         780   ,                             1005   ,                               12.5 ,                           
"{'Al': 27.6, 'Cr': 0.0, 'Nb': 24.1, 'Ti': 24.8, 'V': 23.5}"                                              , bcc                                                                                 ,                                 5.59,                              , C                                                              ,                         560   ,                              700   ,                               50.0 ,                           
"{'Al': 27.6, 'Cr': 0.0, 'Nb': 24.1, 'Ti': 24.8, 'V': 23.5}"                                              , bcc                                                                                 ,                                 5.59,                              , C                                                              ,                         110   ,                                    ,                               50.0 ,                           
"{'Al': 25.6, 'Cr': 10.2, 'Nb': 22.2, 'Ti': 21.4, 'V': 20.6}"                                             , bcc                                                                                 ,                                 5.71,                              , C                                                              ,                        1300   ,                             1430   ,                                0.8 ,                           
"{'Al': 25.6, 'Cr': 10.2, 'Nb': 22.2, 'Ti': 21.4, 'V': 20.6}"                                             , bcc                                                                                 ,                                 5.71,                              , C                                                              ,                        1005   ,                             1045   ,                                2.5 ,                           
"{'Al': 25.6, 'Cr': 10.2, 'Nb': 22.2, 'Ti': 21.4, 'V': 20.6}"                                             , bcc                                                                                 ,                                 5.71,                              , C                                                              ,                         640   ,                              685   ,                               50.0 ,                           
"{'Al': 25.6, 'Cr': 10.2, 'Nb': 22.2, 'Ti': 21.4, 'V': 20.6}"                                             , bcc                                                                                 ,                                 5.71,                              , C                                                              ,                          40   ,                               80   ,                               50.0 ,                           
"{'Al': 22.9, 'Cr': 18.8, 'Nb': 20.2, 'Ti': 19.3, 'V': 18.8}"                                             , bcc + C14 Laves (~13 vol%)                                                          ,                                 5.82,                              , C                                                              ,                        1550   ,                             1570   ,                                0.4 ,                           
"{'Al': 22.9, 'Cr': 18.8, 'Nb': 20.2, 'Ti': 19.3, 'V': 18.8}"                                             , bcc + C14 Laves (~13 vol%)                                                          ,                                 5.82,                              , C                                                              ,                        1015   ,                             1060   ,                                1.5 ,                           
"{'Al': 22.9, 'Cr': 18.8, 'Nb': 20.2, 'Ti': 19.3, 'V': 18.8}"                                             , bcc + C14 Laves (~13 vol%)                                                          ,                                 5.82,                              , C                                                              ,                         860   ,                              895   ,                               50.0 ,                           
"{'Al': 22.9, 'Cr': 18.8, 'Nb': 20.2, 'Ti': 19.3, 'V': 18.8}"                                             , bcc + C14 Laves (~13 vol%)                                                          ,                                 5.82,                              , C                                                              ,                          65   ,                               95   ,                               50.0 ,                           
"{'Al': 21.7, 'Cr': 25.0, 'Nb': 18.7, 'Ti': 17.8, 'V': 16.8}"                                             , bcc + C14 Laves (~35 vol%)                                                          ,                                 5.9 ,                              , C                                                              ,                        1700   ,                             1700   ,                                0.0 ,                           
"{'Al': 21.7, 'Cr': 25.0, 'Nb': 18.7, 'Ti': 17.8, 'V': 16.8}"                                             , bcc + C14 Laves (~35 vol%)                                                          ,                                 5.9 ,                              , C                                                              ,                        1370   ,                             1480   ,                                0.8 ,                           
"{'Al': 21.7, 'Cr': 25.0, 'Nb': 18.7, 'Ti': 17.8, 'V': 16.8}"                                             , bcc + C14 Laves (~35 vol%)                                                          ,                                 5.9 ,                              , C                                                              ,                         970   ,                             1045   ,                               50.0 ,                           
"{'Al': 21.7, 'Cr': 25.0, 'Nb': 18.7, 'Ti': 17.8, 'V': 16.8}"                                             , bcc + C14 Laves (~35 vol%)                                                          ,                                 5.9 ,                              , C                                                              ,                          75   ,                              105   ,                               50.0 ,                           
"{'Al': 20.4, 'Mo': 10.5, 'Nb': 22.4, 'Ta': 10.1, 'Ti': 17.8, 'Zr': 18.8}"                                , BCC1 + BCC2                                                                         ,                                 7.4 ,                        591.4 , C                                                              ,                        2000   ,                             2368   ,                               10.0 ,                           
"{'Al': 20.4, 'Mo': 10.5, 'Nb': 22.4, 'Ta': 10.1, 'Ti': 17.8, 'Zr': 18.8}"                                , BCC1 + BCC2                                                                         ,                                 7.4 ,                        591.4 , C                                                              ,                        1597   ,                             1810   ,                               11.0 ,                           
"{'Al': 20.4, 'Mo': 10.5, 'Nb': 22.4, 'Ta': 10.1, 'Ti': 17.8, 'Zr': 18.8}"                                , BCC1 + BCC2                                                                         ,                                 7.4 ,                        591.4 , C                                                              ,                         745   ,                              772   ,                               50.0 ,                           
"{'Al': 21.9, 'Nb': 32.0, 'Ta': 9.0, 'Ti': 26.7, 'Zr': 10.3}"                                             , BCC                                                                                 ,                                 6.88,                        407.9 , C                                                              ,                        1280   ,                             1367   ,                                3.5 ,                           
"{'Al': 21.9, 'Nb': 32.0, 'Ta': 9.0, 'Ti': 26.7, 'Zr': 10.3}"                                             , BCC                                                                                 ,                                 6.88,                        407.9 , C                                                              ,                         728   ,                             1000   ,                               12.0 ,                           
"{'Al': 21.9, 'Nb': 32.0, 'Ta': 9.0, 'Ti': 26.7, 'Zr': 10.3}"                                             , BCC                                                                                 ,                                 6.88,                        407.9 , C                                                              ,                         403   ,                              415   ,                               50.0 ,                           
"{'Al': 7.9, 'Hf': 12.8, 'Nb': 23.0, 'Ta': 16.8, 'Ti': 18.9, 'Zr': 20.6}"                                 , BCC                                                                                 ,                                 9.05,                        499.7 , C                                                              ,                        1841   ,                             2269   ,                               10.0 ,                           
"{'Al': 7.9, 'Hf': 12.8, 'Nb': 23.0, 'Ta': 16.8, 'Ti': 18.9, 'Zr': 20.6}"                                 , BCC                                                                                 ,                                 9.05,                        499.7 , C                                                              ,                         796   ,                              834   ,                               50.0 ,                           
"{'Al': 7.9, 'Hf': 12.8, 'Nb': 23.0, 'Ta': 16.8, 'Ti': 18.9, 'Zr': 20.6}"                                 , BCC                                                                                 ,                                 9.05,                        499.7 , C                                                              ,                         298   ,                              455   ,                               50.0 ,                           
"{'Al': 5.7, 'Nb': 23.5, 'Ta': 17.6, 'Ti': 27.2, 'Zr': 26.0}"                                             , BCC1 + BCC2                                                                         ,                                 8.18,                        489.5 , C                                                              ,                        1965   ,                             2054   ,                                5.0 ,                           
"{'Al': 5.7, 'Nb': 23.5, 'Ta': 17.6, 'Ti': 27.2, 'Zr': 26.0}"                                             , BCC1 + BCC2                                                                         ,                                 8.18,                        489.5 , C                                                              ,                         362   ,                              397   ,                               50.0 ,                           
"{'Al': 5.7, 'Nb': 23.5, 'Ta': 17.6, 'Ti': 27.2, 'Zr': 26.0}"                                             , BCC1 + BCC2                                                                         ,                                 8.18,                        489.5 , C                                                              ,                         236   ,                              247   ,                               50.0 ,                           
