Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,D_over_t,H_over_W,L_over_D,PDAS_um_experiment_near_0_15,PDAS_um_predicted,PDAS_um_prediction_near_0_15,PDAS_um_prediction_site_D,PDAS_um_prediction_site_E,PDAS_um_prediction_site_F,PDAS_um_prediction_site_J,PDAS_um_reference_experiment,PDAS_um_site_D,PDAS_um_site_E,PDAS_um_site_F,PDAS_um_site_J,PRF_kHz,P_over_sqrtV_W_per_sqrt_mm_per_s,Pv_minus_half_W_mm_minus_1_2_s_1_2,W_over_h,absorptivity,alloy,approx_from_plot,beam_profile,beam_radius_um_reported,build_layer_height_um,build_to_powder_ratio_percent,cavity_minus_meltpool_depth_um,coating_height_um,conduction_to_transition_AR_boundary,conduction_to_transition_recoil_force_mN_approx,constant_Ax_um2,constant_Ax_um2_curves,constant_l_over_d,constant_l_over_d_curves,cooling_rate_K_per_s,critical_depression_width_top_um_for_spot_size,critical_power_density_threshold_MW_per_cm2,crossflow_direction,crossflow_m_per_s,data_origin,depression_and_absorptivity_source,depression_zone_depth_um,depression_zone_width_to_depth,depression_zone_width_um,depth_decrease_slope_um_per_mm,depth_note,depth_vs_height_trend,design,diameter_um_series,dimensionless_enthalpy_H_star,experimental_remelting_depth_um,factor_levels,fixed_parameters,front_wall_tilt_deg,geometry,geometry_basis,ied_J_per_cm2,intercellular_Al_at_percent,keyhole_recoil_force_mN_approx,laser_mode,laser_wavelength_nm,length_definition,length_to_depth,machine,material,melting_mode,melting_regime,meltpool_dimensions_source,meltpool_geometry_source,normalized_enthalpy_DeltaH_over_hs,note,noted_model_offset_um,numerical_steady_state_width_um,oxygen_ppm,partition_coefficient_kLPBF,point_distance_um,porosity_percent,powder_condition,powder_to_no_powder_depth_ratio,powder_to_no_powder_width_ratio,power_series_W_approx_from_plot,preheat_temperature_C,pressure_Pa,pressure_condition,pressure_kPa,pulse_duration_us,rear_wall_feature,reported_areal_energy_density_J_per_mm2,reported_aspect_ratio_D_over_Lh,reported_aspect_ratio_width_to_depth,reported_cross_section_area_um2,reported_meltpool_aspect_ratio_transition_value,reported_meltpool_ranges_um,reported_stable_speed_window_m_per_s,ripple_angle_deg_experimental_range,rosenthal_model_depth_um,rubenchik_model_depth_um,scan_pattern,scan_strategy,scan_strategy_rotation_deg,secondary_depression_depth_um,secondary_depression_offset_from_primary_um,secondary_depression_present,site_xprime_um,site_zprime_um,source,source_figure,specific_energy_density_J_per_mm2,stability_cmp_over_lmp,stability_regime,substrate_condition,surface_condition,table_unit_label,temperature_gradient_K_per_m,thermal_gradient_K_per_mm,top_boundary,track_location,transition_region_recoil_force_mN_range,transition_to_keyhole_AR_boundary,tuning_fork_ids_used,two_depth_to_width,type_II_depth_std_dev_um,type_II_depth_um,type_II_width_std_dev_um,type_II_width_um,type_I_depth_std_dev_um,type_I_depth_um,type_I_width_std_dev_um,type_I_width_um,value_basis,vapor_cavity_depth_um,vaporized_to_molten_volume_ratio_eta,velocity_series_mm_per_s,width_difference_percent,width_to_depth,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,212.5,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,212.5,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574324,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,212.5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53125,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.884615,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53125,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.289474,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.113636,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.790323,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.720588,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662162,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,245,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6125,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.775,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.134615,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.734375,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.460526,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.261364,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991071,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.895161,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816176,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,277.5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69375,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.384615,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.631579,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.409091,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.107143,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.911765,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837838,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,310,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,342.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.425,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,342.5,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.634615,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,342.5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,342.5,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.802632,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,342.5,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.556818,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
,Laser Powder Bed Fusion (LPBF),Single-track scans with in situ pyrometry and ex situ X-ray radiography,342.5,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,Detecting keyhole pore defects and monitoring process signatures during laser powder bed fusion: a correlation between in situ pyrometry and ex situ X-ray radiography,
