original_row,reconstructed_row,match_basis,original_material,reconstructed_material,original_material_canonical,reconstructed_material_canonical,material_match_after_normalization,power_norm,velocity_norm,layer_thickness_norm,original_paper_id,reconstructed_paper_id,original_full_key_group_size,reconstructed_full_key_group_size,original_fallback_key_group_size,reconstructed_fallback_key_group_size
462,305,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,700,30,20,,1,1,1,1
463,311,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,800,30,20,,1,1,1,1
464,317,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,900,30,20,,1,1,1,1
465,323,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,1000,30,20,,1,1,1,1
466,329,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,500,1100,30,20,,1,1,1,1
467,288,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,400,30,20,,1,1,1,1
468,294,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,500,30,20,,1,1,1,1
469,300,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,600,30,20,,1,1,1,1
470,306,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,700,30,20,,1,1,1,1
471,312,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,800,30,20,,1,1,1,1
472,318,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,900,30,20,,1,1,1,1
473,324,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,1000,30,20,,1,1,1,1
474,330,power_velocity_layer_only,SS316L,316L stainless steel,ss316l,ss316l,yes,600,1100,30,20,,1,1,1,1
475,340,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,50,500,60,21,101504,1,1,1,1
476,341,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,65,500,60,21,101504,1,1,1,1
477,342,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,80,500,60,21,101504,1,1,1,1
478,343,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,100,500,60,21,101504,1,1,1,1
479,344,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,120,500,60,21,101504,1,1,1,1
480,345,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,150,500,60,21,101504,1,1,1,1
481,346,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,200,500,60,21,101504,1,1,1,1
482,348,power_velocity_layer_only,IN625,Nickel alloy 625 (IN625),in625,in625,yes,300,500,60,21,101504,1,1,1,1
498,364,power_velocity_layer_only,SS316L,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ss316l,ss316l,yes,100,800,,23,Additive Manufacturing 32 (2020) 101084,1,2,1,2
499,372,power_velocity_layer_only,SS316L,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ss316l,ss316l,yes,200,800,,23,Additive Manufacturing 32 (2020) 101084,1,4,1,5
500,380,power_velocity_layer_only,SS316L,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ss316l,ss316l,yes,300,800,,23,Additive Manufacturing 32 (2020) 101084,1,2,1,2
501,366,power_velocity_layer_only,SS316L,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ss316l,ss316l,yes,400,800,,23,Additive Manufacturing 32 (2020) 101084,1,6,1,6
502,389,power_velocity_layer_only,IN718,IN718 (Inconel 718) powder on IN718 substrate,in718,in718,yes,142,960,60,24,file24,1,1,1,1
503,391,power_velocity_layer_only,IN718,IN718 (Inconel 718) powder on IN718 substrate,in718,in718,yes,250,1100,60,24,file24,1,5,1,5
504,393,power_velocity_layer_only,IN718,IN718 (Inconel 718) powder on IN718 substrate,in718,in718,yes,285,960,60,24,file24,1,1,1,1
505,395,power_velocity_layer_only,IN718,IN718 (Inconel 718) powder on IN718 substrate,in718,in718,yes,250,660,60,24,file24,1,1,1,1
506,397,power_velocity_layer_only,IN718,IN718 (Inconel 718) powder on IN718 substrate,in718,in718,yes,285,600,60,24,file24,1,1,1,1
509,402,power_velocity_layer_only,SS17-4PH,17-4PH stainless steel,ss174ph,174ph,no,100,600,50,25,file25,1,1,1,1
537,403,power_velocity_layer_only,SS17-4PH,17-4PH stainless steel,ss174ph,174ph,no,300,1800,50,25,file25,1,1,3,1
543,404,power_velocity_layer_only,SS17-4PH,17-4PH stainless steel,ss174ph,174ph,no,900,500,50,25,file25,1,1,1,1
544,405,power_velocity_layer_only,SS17-4PH,17-4PH stainless steel,ss174ph,174ph,no,900,600,50,25,file25,1,1,1,1
572,406,power_velocity_layer_only,SS17-4PH,17-4PH stainless steel,ss174ph,174ph,no,2700,1800,50,25,file25,1,1,1,1
584,426,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,600,20,28,file28,1,1,1,1
585,427,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,700,20,28,file28,1,1,1,1
586,428,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,800,20,28,file28,1,1,1,1
587,429,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,900,20,28,file28,1,1,1,1
588,430,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,1000,20,28,file28,1,1,1,1
589,431,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,1100,20,28,file28,1,1,1,1
590,432,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,1200,20,28,file28,1,1,1,1
591,433,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,170,1300,20,28,file28,1,1,1,1
592,434,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,600,20,28,file28,1,1,1,1
593,435,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,700,20,28,file28,1,1,1,1
594,436,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,800,20,28,file28,1,1,4,4
595,437,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,900,20,28,file28,1,1,1,1
596,438,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,1000,20,28,file28,1,1,1,1
597,439,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,1100,20,28,file28,1,1,1,1
598,440,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,1200,20,28,file28,1,1,1,1
599,441,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,195,1300,20,28,file28,1,1,1,1
600,442,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,600,20,28,file28,1,1,1,1
601,443,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,700,20,28,file28,1,1,1,1
602,444,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,800,20,28,file28,1,1,1,1
603,445,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,900,20,28,file28,1,1,1,1
604,446,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,1000,20,28,file28,1,1,1,1
605,447,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,1100,20,28,file28,1,1,1,1
606,448,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,1200,20,28,file28,1,1,1,1
607,449,power_velocity_layer_only,SS17-4PH,"Stainless Steel 17-4PH powder (single-layer, on mild carbon steel substrate)",ss174ph,174ph,no,220,1300,20,28,file28,1,1,1,1
611,476,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,102,600,30,30,101308,1,1,1,1
612,471,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,102,800,30,30,101308,1,1,1,1
613,466,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,102,1000,30,30,101308,1,1,1,1
614,461,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,102,1200,30,30,101308,1,1,1,1
615,456,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,102,1400,30,30,101308,1,1,1,1
616,477,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,128,600,30,30,101308,1,1,1,1
617,472,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,128,800,30,30,101308,1,1,1,1
618,467,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,128,1000,30,30,101308,1,1,1,1
619,462,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,128,1200,30,30,101308,1,1,1,1
620,457,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,128,1400,30,30,101308,1,1,1,1
621,478,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,153,600,30,30,101308,1,1,1,1
622,473,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,153,800,30,30,101308,1,1,1,1
623,468,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,153,1000,30,30,101308,1,1,1,1
624,463,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,153,1200,30,30,101308,1,1,1,1
625,458,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,153,1400,30,30,101308,1,1,1,1
626,479,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,179,600,30,30,101308,1,1,1,1
627,474,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,179,800,30,30,101308,1,1,1,1
628,469,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,179,1000,30,30,101308,1,1,1,1
629,464,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,179,1200,30,30,101308,1,1,1,1
630,459,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,179,1400,30,30,101308,1,1,1,1
631,480,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,204,600,30,30,101308,1,1,1,1
632,475,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,204,800,30,30,101308,1,1,1,1
633,470,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,204,1000,30,30,101308,1,1,1,1
634,465,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,204,1200,30,30,101308,1,1,1,1
635,460,power_velocity_layer_only,Al-2.5Fe,Al-2.5Fe (mass%) near-eutectic binary alloy,al25fe,al25feneareutecticbinary,no,204,1400,30,30,101308,1,1,1,1
658,683,power_velocity_layer_only,Ti-6Al-4V,Hastelloy X,ti6al4v,hastelloyx,no,150,600,,34,8/file8,1,1,1,1
667,687,power_velocity_layer_only,Ti-6Al-4V,Hastelloy X,ti6al4v,hastelloyx,no,150,700,,34,8/file8,1,1,1,1
683,384,power_velocity_layer_only,Ti-6Al-4V,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ti6al4v,ss316l,no,200,1000,,34,Additive Manufacturing 32 (2020) 101084,1,2,1,3
684,386,power_velocity_layer_only,Ti-6Al-4V,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ti6al4v,ss316l,no,300,1000,,34,Additive Manufacturing 32 (2020) 101084,1,2,2,2
686,370,power_velocity_layer_only,Ti-6Al-4V,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ti6al4v,ss316l,no,400,1000,,34,Additive Manufacturing 32 (2020) 101084,1,2,1,2
688,89,power_velocity_layer_only,Ti-6Al-4V,AlSi10Mg,ti6al4v,alsi10mg,no,520,1000,,34,,1,1,1,1
695,382,power_velocity_layer_only,Ti-6Al-4V,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",ti6al4v,ss316l,no,250,1200,,34,Additive Manufacturing 32 (2020) 101084,1,2,1,3
696,686,power_velocity_layer_only,Ti-6Al-4V,Hastelloy X,ti6al4v,hastelloyx,no,300,1200,,34,8/file8,1,1,2,1
703,200,power_velocity_layer_only,Ti-6Al-4V,,ti6al4v,,no,180,400,,34,,1,1,1,1
729,514,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,400,50,100,36,file36,1,1,1,1
730,515,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,400,100,100,36,file36,1,1,1,1
731,516,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,400,150,100,36,file36,1,1,1,1
732,517,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,400,200,100,36,file36,1,1,1,1
733,519,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,400,300,100,36,file36,1,1,1,1
734,521,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,400,400,100,36,file36,1,1,1,1
735,523,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,400,500,100,36,file36,1,1,1,1
736,524,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,500,50,100,36,file36,1,1,1,1
737,525,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,500,100,100,36,file36,1,1,1,1
738,526,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,500,150,100,36,file36,1,1,1,1
739,527,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,500,200,100,36,file36,1,1,1,1
740,529,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,500,300,100,36,file36,1,1,1,1
741,531,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,500,400,100,36,file36,1,1,1,1
742,533,power_velocity_layer_only,HCP Cu,Pure Cu (HCP Cu powder on Cu substrate),hcpcu,purecu,no,500,500,100,36,file36,1,1,1,1
748,548,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,200,100,40,37,file37,1,2,1,2
749,549,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,200,250,40,37,file37,1,3,2,3
750,550,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,200,500,40,37,file37,1,2,1,2
751,563,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,200,1000,40,37,file37,1,2,2,2
752,552,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,250,100,40,37,file37,1,2,1,2
753,553,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,250,250,40,37,file37,1,2,1,2
754,554,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,250,500,40,37,file37,1,3,2,3
755,567,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,250,1000,40,37,file37,1,2,3,2
756,556,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,250,1500,40,37,file37,1,2,1,2
758,557,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,300,100,40,37,file37,1,2,1,2
759,558,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,300,150,40,37,file37,1,2,1,2
760,559,power_velocity_layer_only,IN718,IN718 and MS1,in718,in718,yes,300,250,40,37,file37,1,2,1,2
761,572,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,200,170,40,37,file37,1,1,1,1
762,561,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,200,250,40,37,file37,1,3,2,3
763,574,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,200,385,40,37,file37,1,1,1,1
764,575,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,200,750,40,37,file37,1,1,1,1
765,576,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,250,270,40,37,file37,1,1,1,1
766,566,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,250,500,40,37,file37,1,3,2,3
767,578,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,250,600,40,37,file37,1,1,1,1
768,579,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,250,750,40,37,file37,1,1,1,1
770,581,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,300,550,40,37,file37,1,1,1,1
771,582,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,300,730,40,37,file37,1,1,1,1
772,583,power_velocity_layer_only,MS1-,IN718 and MS1,ms1,in718,no,300,1100,40,37,file37,1,1,1,1
829,339,power_velocity_layer_only,CMSX-4,Nickel alloy 625 (IN625),cmsx4,in625,no,300,500,,43,101504,1,1,2,1
837,387,power_velocity_layer_only,CMSX-4,"Multi-material study: 316L stainless steel, Nickel 400, Al6061, Ti-64",cmsx4,ss316l,no,300,1000,,43,Additive Manufacturing 32 (2020) 101084,1,2,2,2
854,694,power_velocity_layer_only,Ti-6Al-4V,Hastelloy X,ti6al4v,hastelloyx,no,300,2000,,45,8/file8,1,1,3,2
868,112,power_velocity_layer_only,Ti-6Al-4V,Ti6Al4V powder,ti6al4v,ti6al4v,yes,80,200,30,47,file15,1,1,1,1
989,693,power_velocity_layer_only,Invar36,Hastelloy X,invar36,hastelloyx,no,250,1600,,55,8/file8,1,1,2,2
1176,536,power_velocity_layer_only,Tungsten,Pure Cu (HCP Cu powder on Cu substrate),tungsten,purecu,no,500,300,,60,file36,1,1,1,1
1177,537,power_velocity_layer_only,Tungsten,Pure Cu (HCP Cu powder on Cu substrate),tungsten,purecu,no,500,400,,60,file36,1,1,1,1
1178,538,power_velocity_layer_only,Tungsten,Pure Cu (HCP Cu powder on Cu substrate),tungsten,purecu,no,500,500,,60,file36,1,1,1,1
1185,509,power_velocity_layer_only,SS316L,SS316 stainless steel,ss316l,ss316,no,100,1.67,,62,file35,1,1,1,1
1186,510,power_velocity_layer_only,SS316L,SS316 stainless steel,ss316l,ss316,no,150,1.67,,62,file35,1,1,1,1
1187,511,power_velocity_layer_only,SS316L,SS316 stainless steel,ss316l,ss316,no,200,1.67,,62,file35,3,1,3,1
1189,513,power_velocity_layer_only,SS316L,SS316 stainless steel,ss316l,ss316,no,200,5,,62,file35,1,1,2,1
1605,144,power_velocity_layer_only,SS316L,Stainless steel 316L (powder on SS316L substrate),ss316l,ss316l,yes,147.5,220,50,80,,1,1,1,1
